natx =      531
    x       y        z       iph  
     -1.80500     -5.41500     -3.61000   1      6.75369
     -5.41500      3.61000     -1.80500   1      6.75369
      3.61000      5.41500     -1.80500   1      6.75369
      3.61000     -1.80500     -5.41500   1      6.75369
     -7.22000      0.00000      0.00000   1      7.22000
      0.00000      0.00000     -7.22000   1      7.22000
      0.00000      7.22000      0.00000   1      7.22000
      0.00000     -7.22000      0.00000   1      7.22000
      0.00000      0.00000      7.22000   1      7.22000
      7.22000      0.00000      0.00000   1      7.22000
     -1.80500     -7.22000      1.80500   1      7.65797
     -7.22000      1.80500     -1.80500   1      7.65797
     -7.22000     -1.80500     -1.80500   1      7.65797
     -1.80500     -7.22000     -1.80500   1      7.65797
      1.80500     -1.80500      7.22000   1      7.65797
      1.80500      7.22000      1.80500   1      7.65797
      7.22000     -1.80500     -1.80500   1      7.65797
     -1.80500      7.22000      1.80500   1      7.65797
      1.80500     -7.22000      1.80500   1      7.65797
      1.80500     -1.80500     -7.22000   1      7.65797
      7.22000      1.80500     -1.80500   1      7.65797
     -1.80500      1.80500      7.22000   1      7.65797
     -7.22000     -1.80500      1.80500   1      7.65797
     -1.80500      1.80500     -7.22000   1      7.65797
     -1.80500      7.22000     -1.80500   1      7.65797
      1.80500      7.22000     -1.80500   1      7.65797
      7.22000     -1.80500      1.80500   1      7.65797
      1.80500     -7.22000     -1.80500   1      7.65797
      7.22000      1.80500      1.80500   1      7.65797
     -1.80500     -1.80500      7.22000   1      7.65797
      1.80500      1.80500     -7.22000   1      7.65797
     -7.22000      1.80500      1.80500   1      7.65797
      1.80500      1.80500      7.22000   1      7.65797
     -1.80500     -1.80500     -7.22000   1      7.65797
      0.00000     -5.41500      5.41500   1      7.65797
      5.41500     -5.41500      0.00000   1      7.65797
      0.00000     -5.41500     -5.41500   1      7.65797
     -5.41500      0.00000     -5.41500   1      7.65797
     -5.41500      5.41500      0.00000   1      7.65797
      0.00000      5.41500     -5.41500   1      7.65797
      0.00000      5.41500      5.41500   1      7.65797
     -5.41500     -5.41500      0.00000   1      7.65797
     -5.41500      0.00000      5.41500   1      7.65797
      5.41500      0.00000     -5.41500   1      7.65797
      5.41500      0.00000      5.41500   1      7.65797
      5.41500      5.41500      0.00000   1      7.65797
     -7.22000     -3.61000      0.00000   1      8.07221
      7.22000      0.00000     -3.61000   1      8.07221
     -7.22000      3.61000      0.00000   1      8.07221
      7.22000      0.00000      3.61000   1      8.07221
      0.00000     -7.22000     -3.61000   1      8.07221
     -3.61000      0.00000      7.22000   1      8.07221
      3.61000     -7.22000      0.00000   1      8.07221
      3.61000      7.22000      0.00000   1      8.07221
      3.61000      0.00000     -7.22000   1      8.07221
     -3.61000      0.00000     -7.22000   1      8.07221
      0.00000      7.22000     -3.61000   1      8.07221
      7.22000      3.61000      0.00000   1      8.07221
      0.00000      3.61000      7.22000   1      8.07221
     -7.22000      0.00000      3.61000   1      8.07221
      0.00000     -7.22000      3.61000   1      8.07221
      3.61000      0.00000      7.22000   1      8.07221
     -7.22000      0.00000     -3.61000   1      8.07221
     -3.61000      7.22000      0.00000   1      8.07221
      0.00000     -3.61000      7.22000   1      8.07221
     -3.61000     -7.22000      0.00000   1      8.07221
      0.00000     -3.61000     -7.22000   1      8.07221
      0.00000      7.22000      3.61000   1      8.07221
      0.00000      3.61000     -7.22000   1      8.07221
      7.22000     -3.61000      0.00000   1      8.07221
      3.61000      5.41500     -5.41500   1      8.46620
      5.41500      5.41500     -3.61000   1      8.46620
      5.41500     -3.61000     -5.41500   1      8.46620
      5.41500      5.41500      3.61000   1      8.46620
      5.41500     -3.61000      5.41500   1      8.46620
     -5.41500      3.61000      5.41500   1      8.46620
     -5.41500      5.41500      3.61000   1      8.46620
      5.41500      3.61000      5.41500   1      8.46620
     -3.61000      5.41500     -5.41500   1      8.46620
     -5.41500      5.41500     -3.61000   1      8.46620
      5.41500     -5.41500      3.61000   1      8.46620
     -5.41500      3.61000     -5.41500   1      8.46620
      5.41500     -5.41500     -3.61000   1      8.46620
      3.61000     -5.41500     -5.41500   1      8.46620
     -5.41500     -5.41500      3.61000   1      8.46620
      3.61000     -5.41500      5.41500   1      8.46620
     -5.41500     -5.41500     -3.61000   1      8.46620
     -3.61000     -5.41500     -5.41500   1      8.46620
     -5.41500     -3.61000      5.41500   1      8.46620
     -3.61000     -5.41500      5.41500   1      8.46620
     -5.41500     -3.61000     -5.41500   1      8.46620
      3.61000      5.41500      5.41500   1      8.46620
     -3.61000      5.41500      5.41500   1      8.46620
