  -0.2936441640E+000  -0.1180849032E-005   0.1055931055E-003
  -0.2922440212E+000  -0.1150478703E-005   0.1085078784E-003
  -0.2880435928E+000  -0.1075857083E-005   0.1172061278E-003
  -0.2810428789E+000  -0.1091020374E-005   0.1309069059E-003
  -0.2712418793E+000  -0.1475697235E-005   0.1472823988E-003
  -0.2586405938E+000  -0.2560369238E-005   0.1632342055E-003
  -0.2432390231E+000  -0.4516948685E-005   0.1769589853E-003
  -0.2250371668E+000  -0.7345081601E-005   0.1882731274E-003
  -0.2040350245E+000  -0.1095594423E-004   0.1976247247E-003
  -0.1802325970E+000  -0.1522828977E-004   0.2054768776E-003
  -0.1536298836E+000  -0.2002375636E-004   0.2121290105E-003
  -0.1242268849E+000  -0.2519574470E-004   0.2177756366E-003
  -0.9202360033E-001  -0.3059874475E-004   0.2225144234E-003
  -0.5702003014E-001  -0.3608163192E-004   0.2264189195E-003
  -0.1921617447E-001  -0.4150566439E-004   0.2295502145E-003
   0.2138796687E-001  -0.4673912340E-004   0.2319607379E-003
   0.6479239397E-001  -0.5167275429E-004   0.2337372992E-003
   0.1109971065E+000  -0.5621860934E-004   0.2349383958E-003
   0.1600021046E+000  -0.6030187844E-004   0.2356611431E-003
   0.2118073883E+000  -0.6387863908E-004   0.2359821219E-003
   0.2664129576E+000  -0.6692058749E-004   0.2359320164E-003
   0.3840249541E+000  -0.7085836140E-004   0.2351576546E-003
   0.5128380918E+000  -0.7104479503E-004   0.2368318671E-003
   0.6528523711E+000  -0.7593211908E-004   0.2400830120E-003
   0.8040677957E+000  -0.8007324094E-004   0.2408743611E-003
   0.9664843582E+000  -0.8245725900E-004   0.2419855869E-003
   0.1140102066E+001  -0.8402078016E-004   0.2430437690E-003
   0.1324920919E+001  -0.8494417070E-004   0.2442904251E-003
   0.1520940910E+001  -0.8554414288E-004   0.2456192660E-003
   0.1728162047E+001  -0.8608145585E-004   0.2469454659E-003
   0.1946584324E+001  -0.8662125495E-004   0.2481447417E-003
   0.2176207744E+001  -0.8723974710E-004   0.2490798663E-003
   0.2417032305E+001  -0.8795022992E-004   0.2497318507E-003
   0.2669058012E+001  -0.8865514715E-004   0.2499600526E-003
   0.2932284856E+001  -0.8913149155E-004   0.2497822881E-003
   0.3206712846E+001  -0.8955339684E-004   0.2494172930E-003
   0.3492341981E+001  -0.8963300135E-004   0.2487208622E-003
   0.3789172264E+001  -0.8931914125E-004   0.2478772446E-003
   0.4097203686E+001  -0.8898044614E-004   0.2471931157E-003
   0.4416436224E+001  -0.8837026930E-004   0.2465358815E-003
   0.4746869914E+001  -0.8762788343E-004   0.2459546676E-003
   0.5621959197E+001  -0.8631677918E-004   0.2452379516E-003
   0.6567055582E+001  -0.8614545730E-004   0.2445184416E-003
   0.7582159107E+001  -0.8676829849E-004   0.2427891799E-003
   0.8667269772E+001  -0.8764716689E-004   0.2399444722E-003
   0.9822387613E+001  -0.8743388614E-004   0.2371610452E-003
   0.1104751256E+002  -0.8746230493E-004   0.2348784296E-003
   0.1234264464E+002  -0.8794721373E-004   0.2329923198E-003
   0.1370778386E+002  -0.8880966849E-004   0.2309150272E-003
   0.1664808377E+002  -0.8998785191E-004   0.2256784438E-003
   0.1986841223E+002  -0.9053801016E-004   0.2206963103E-003
   0.2336876925E+002  -0.9187865840E-004   0.2151364924E-003
   0.2714915479E+002  -0.9278362225E-004   0.2091479039E-003
   0.3120956892E+002  -0.9378329657E-004   0.2033512237E-003
