Pathfinder: finding scattering paths...
Preparing plane wave scattering amplitudes
Searching for paths
    Rmax  8.0000  keep and heap limits   0.0000000   0.0000000
    Preparing neighbor table
    nfound  heapsize  maxheap  maxscatt   reff
        183000      5372     31194     6     7.8957
        184000      4999     31194     6     7.8957
        185000      4482     31194     6     7.8957
        186000      4171     31194     6     7.8957
        187000      4021     31194     6     7.8957
        188000      3756     31194     6     7.8957
        189000      3499     31194     6     7.8957
        190000      3247     31194     6     7.8957
        191000      3013     31194     6     7.8957
        192000      2704     31194     6     7.8957
        193000      2269     31194     6     7.8957
        194000      1928     31194     6     7.8957
        195000      1979     31194     6     7.9040
        196000      1456     31194     6     7.9040
        197000       992     31194     6     7.9040
        198000       494     31194     6     7.9040
        199000       267     31194     6     7.9672
    Paths found   199940   (maxheap, maxscatt   31194   6)
Eliminating path degeneracies
    Unique paths     52,  total paths    2630
Done with module: pathfinder.

