# Cr2GeC
#  POT  SCF  30  4.0000   0, NO core-hole, AFOLP (folp(0)= 1.150)
    1 190 191  Unique potential, I_mt, I_norman.    Following data in atomic units.
  iph            1
   i      r         vcoul        rho     ovrlp vcoul  ovrlp vtot  ovrlp rho
   50  1.7467E-03 -3.4204E+03  1.2325E+02 -3.4205E+03 -3.4257E+03  1.3674E+02
   51  1.8363E-03 -3.2529E+03  1.2311E+02 -3.2530E+03 -3.2579E+03  1.1549E+02
   52  1.9305E-03 -3.0935E+03  1.2296E+02 -3.0936E+03 -3.0988E+03  1.3488E+02
   53  2.0294E-03 -2.9419E+03  1.2280E+02 -2.9420E+03 -2.9470E+03  1.1654E+02
   54  2.1335E-03 -2.7977E+03  1.2264E+02 -2.7979E+03 -2.8030E+03  1.3319E+02
   55  2.2429E-03 -2.6606E+03  1.2246E+02 -2.6607E+03 -2.6657E+03  1.1729E+02
   56  2.3579E-03 -2.5301E+03  1.2228E+02 -2.5302E+03 -2.5354E+03  1.3167E+02
   57  2.4788E-03 -2.4060E+03  1.2209E+02 -2.4061E+03 -2.4111E+03  1.1793E+02
   58  2.6058E-03 -2.2880E+03  1.2190E+02 -2.2881E+03 -2.2932E+03  1.3025E+02
   59  2.7394E-03 -2.1757E+03  1.2169E+02 -2.1758E+03 -2.1807E+03  1.1834E+02
   60  2.8799E-03 -2.0688E+03  1.2147E+02 -2.0690E+03 -2.0741E+03  1.2896E+02
   61  3.0276E-03 -1.9672E+03  1.2125E+02 -1.9673E+03 -1.9723E+03  1.1866E+02
   62  3.1828E-03 -1.8706E+03  1.2101E+02 -1.8707E+03 -1.8758E+03  1.2773E+02
   63  3.3460E-03 -1.7786E+03  1.2076E+02 -1.7788E+03 -1.7837E+03  1.1878E+02
   64  3.5175E-03 -1.6912E+03  1.2050E+02 -1.6913E+03 -1.6964E+03  1.2656E+02
   65  3.6979E-03 -1.6080E+03  1.2023E+02 -1.6081E+03 -1.6131E+03  1.1881E+02
   66  3.8875E-03 -1.5289E+03  1.1995E+02 -1.5290E+03 -1.5340E+03  1.2543E+02
   67  4.0868E-03 -1.4536E+03  1.1965E+02 -1.4537E+03 -1.4587E+03  1.1868E+02
   68  4.2963E-03 -1.3820E+03  1.1934E+02 -1.3821E+03 -1.3872E+03  1.2432E+02
   69  4.5166E-03 -1.3139E+03  1.1901E+02 -1.3140E+03 -1.3190E+03  1.1846E+02
   70  4.7482E-03 -1.2491E+03  1.1867E+02 -1.2492E+03 -1.2542E+03  1.2322E+02
   71  4.9916E-03 -1.1875E+03  1.1831E+02 -1.1876E+03 -1.1925E+03  1.1809E+02
   72  5.2475E-03 -1.1288E+03  1.1794E+02 -1.1290E+03 -1.1340E+03  1.2212E+02
   73  5.5166E-03 -1.0731E+03  1.1755E+02 -1.0732E+03 -1.0781E+03  1.1763E+02
   74  5.7994E-03 -1.0200E+03  1.1714E+02 -1.0201E+03 -1.0252E+03  1.2098E+02
   75  6.0967E-03 -9.6958E+02  1.1671E+02 -9.6969E+02 -9.7464E+02  1.1703E+02
   76  6.4093E-03 -9.2159E+02  1.1626E+02 -9.2169E+02 -9.2668E+02  1.1982E+02
   77  6.7379E-03 -8.7593E+02  1.1580E+02 -8.7604E+02 -8.8098E+02  1.1634E+02
   78  7.0834E-03 -8.3250E+02  1.1531E+02 -8.3261E+02 -8.3758E+02  1.1861E+02
   79  7.4466E-03 -7.9119E+02  1.1479E+02 -7.9130E+02 -7.9623E+02  1.1550E+02
   80  7.8284E-03 -7.5190E+02  1.1426E+02 -7.5200E+02 -7.5696E+02  1.1735E+02
   81  8.2297E-03 -7.1452E+02  1.1370E+02 -7.1463E+02 -7.1955E+02  1.1457E+02
   82  8.6517E-03 -6.7897E+02  1.1312E+02 -6.7907E+02 -6.8401E+02  1.1601E+02
   83  9.0953E-03 -6.4514E+02  1.1251E+02 -6.4525E+02 -6.5015E+02  1.1349E+02
   84  9.5616E-03 -6.1297E+02  1.1187E+02 -6.1308E+02 -6.1800E+02  1.1459E+02
   85  1.0052E-02 -5.8237E+02  1.1120E+02 -5.8248E+02 -5.8737E+02  1.1230E+02
   86  1.0567E-02 -5.5326E+02  1.1051E+02 -5.5337E+02 -5.5827E+02  1.1308E+02
   87  1.1109E-02 -5.2557E+02  1.0979E+02 -5.2568E+02 -5.3055E+02  1.1096E+02
   88  1.1679E-02 -4.9924E+02  1.0903E+02 -4.9934E+02 -5.0422E+02  1.1146E+02
   89  1.2277E-02 -4.7418E+02  1.0824E+02 -4.7429E+02 -4.7914E+02  1.0948E+02
   90  1.2907E-02 -4.5035E+02  1.0742E+02 -4.5046E+02 -4.5531E+02  1.0972E+02
   91  1.3569E-02 -4.2768E+02  1.0656E+02 -4.2779E+02 -4.3261E+02  1.0785E+02
   92  1.4264E-02 -4.0612E+02  1.0567E+02 -4.0623E+02 -4.1105E+02  1.0786E+02
   93  1.4996E-02 -3.8561E+02  1.0474E+02 -3.8572E+02 -3.9052E+02  1.0607E+02
   94  1.5764E-02 -3.6610E+02  1.0377E+02 -3.6621E+02 -3.7101E+02  1.0586E+02
   95  1.6573E-02 -3.4755E+02  1.0276E+02 -3.4765E+02 -3.5242E+02  1.0411E+02
   96  1.7422E-02 -3.2990E+02  1.0171E+02 -3.3000E+02 -3.3477E+02  1.0371E+02
   97  1.8316E-02 -3.1311E+02  1.0062E+02 -3.1321E+02 -3.1795E+02  1.0199E+02
   98  1.9255E-02 -2.9714E+02  9.9493E+01 -2.9725E+02 -3.0197E+02  1.0139E+02
   99  2.0242E-02 -2.8195E+02  9.8317E+01 -2.8206E+02 -2.8676E+02  9.9683E+01
  100  2.1280E-02 -2.6750E+02  9.7097E+01 -2.6761E+02 -2.7230E+02  9.8913E+01
  101  2.2371E-02 -2.5376E+02  9.5832E+01 -2.5387E+02 -2.5853E+02  9.7196E+01
  102  2.3518E-02 -2.4069E+02  9.4520E+01 -2.4080E+02 -2.4545E+02  9.6253E+01
  103  2.4724E-02 -2.2826E+02  9.3162E+01 -2.2837E+02 -2.3299E+02  9.4508E+01
  104  2.5991E-02 -2.1644E+02  9.1755E+01 -2.1655E+02 -2.2115E+02  9.3408E+01
  105  2.7324E-02 -2.0520E+02  9.0300E+01 -2.0530E+02 -2.0988E+02  9.1628E+01
  106  2.8725E-02 -1.9450E+02  8.8797E+01 -1.9461E+02 -1.9917E+02  9.0371E+01
  107  3.0197E-02 -1.8433E+02  8.7244E+01 -1.8444E+02 -1.8897E+02  8.8540E+01
  108  3.1746E-02 -1.7466E+02  8.5643E+01 -1.7477E+02 -1.7927E+02  8.7140E+01
  109  3.3373E-02 -1.6547E+02  8.3991E+01 -1.6557E+02 -1.7004E+02  8.5253E+01
  110  3.5084E-02 -1.5672E+02  8.2291E+01 -1.5683E+02 -1.6127E+02  8.3711E+01
  111  3.6883E-02 -1.4840E+02  8.0542E+01 -1.4851E+02 -1.5292E+02  8.1760E+01
  112  3.8774E-02 -1.4050E+02  7.8744E+01 -1.4061E+02 -1.4499E+02  8.0087E+01
  113  4.0762E-02 -1.3298E+02  7.6899E+01 -1.3309E+02 -1.3743E+02  7.8071E+01
  114  4.2852E-02 -1.2583E+02  7.5007E+01 -1.2594E+02 -1.3025E+02  7.6271E+01
  115  4.5049E-02 -1.1904E+02  7.3070E+01 -1.1915E+02 -1.2342E+02  7.4187E+01
  116  4.7359E-02 -1.1258E+02  7.1089E+01 -1.1269E+02 -1.1693E+02  7.2274E+01
