# r       w_scrn(r)      v_ch(r)
  3.8267067680E0   5.1407349213E0   2.0280981208E1
  3.8607972866E0   5.0935975540E0   2.0076826375E1
  3.8948878051E0   5.0469325577E0   1.9873299829E1
  3.9289783237E0   5.0007351986E0   1.9670398226E1
  3.9630688423E0   4.9550007905E0   1.9468118295E1
  3.9971593609E0   4.9097246941E0   1.9266456839E1
  4.0312498795E0   4.8649023166E0   1.9065410734E1
  4.0653403981E0   4.8205291112E0   1.8864976933E1
  4.0994309167E0   4.7766005766E0   1.8665152464E1
  4.1335214353E0   4.7331122567E0   1.8465934429E1
  4.1676119539E0   4.6900597402E0   1.8267320008E1
  4.2017024724E0   4.6474386597E0   1.8069306457E1
  4.2357929910E0   4.6052446917E0   1.7871891109E1
  4.2698835096E0   4.5634735561E0   1.7675071374E1
  4.3039740282E0   4.5221210156E0   1.7478844744E1
  4.3380645468E0   4.4811828754E0   1.7283208785E1
  4.3721550654E0   4.4406549827E0   1.7088161149E1
  4.4062455840E0   4.4005332264E0   1.6893699564E1
  4.4403361026E0   4.3608135365E0   1.6699821842E1
  4.4744266212E0   4.3214918839E0   1.6506525879E1
  4.5085171397E0   4.2825642798E0   1.6313809652E1
  4.5426076583E0   4.2440267752E0   1.6121671226E1
  4.5766981769E0   4.2058754611E0   1.5930108750E1
  4.6107886955E0   4.1681064672E0   1.5739120461E1
  4.6448792141E0   4.1307159624E0   1.5548704685E1
  4.6789697327E0   4.0937001537E0   1.5358859839E1
  4.7130602513E0   4.0570552863E0   1.5169584430E1
  4.7471507699E0   4.0207776428E0   1.4980877060E1
  4.7812412885E0   3.9848635432E0   1.4792736425E1
  4.8153318070E0   3.9493093445E0   1.4605161320E1
  4.8494223256E0   3.9141114401E0   1.4418150636E1
  4.8835128442E0   3.8792662593E0   1.4231703369E1
  4.9176033628E0   3.8447702676E0   1.4045818614E1
  4.9516938814E0   3.8106199656E0   1.3860495576E1
  4.9857844000E0   3.7768118891E0   1.3675733565E1
  5.0198749186E0   3.7433426087E0   1.3491532004E1
  5.0539654372E0   3.7102087292E0   1.3307890431E1
  5.0880559558E0   3.6774068896E0   1.3124808498E1
  5.1221464743E0   3.6449337623E0   1.2942285979E1
  5.1562369929E0   3.6127860533E0   1.2760322773E1
  5.1903275115E0   3.5809605015E0   1.2578918906E1
  5.2244180301E0   3.5494538787E0   1.2398074535E1
  5.2585085487E0   3.5182629886E0   1.2217789953E1
  5.2925990673E0   3.4873846673E0   1.2038065595E1
  5.3266895859E0   3.4568157825E0   1.1858902040E1
  5.3607801045E0   3.4265532334E0   1.1680300019E1
  5.3948706231E0   3.3965939500E0   1.1502260420E1
  5.4289611416E0   3.3669348932E0   1.1324784292E1
  5.4630516602E0   3.3375730546E0   1.1147872853E1
  5.4971421788E0   3.3085054555E0   1.0971527498E1
  5.5312326974E0   3.2797291474E0   1.0795749807E1
  5.5653232160E0   3.2512412112E0   1.0620541549E1
  5.5994137346E0   3.2230387571E0   1.0445904694E1
  5.6335042532E0   3.1951189243E0   1.0271841424E1
  5.6675947718E0   3.1674788804E0   1.0098354139E1
  5.7016852904E0   3.1401158218E0   9.9254454696E0
  5.7357758089E0   3.1130269726E0   9.7531182920E0
  5.7698663275E0   3.0862095851E0   9.5813757367E0
  5.8039568461E0   3.0596609389E0   9.4102212045E0
  5.8380473647E0   3.0333783407E0   9.2396583820E0
  5.8721378833E0   3.0073591247E0   9.0696912579E0
  5.9062284019E0   2.9816006513E0   8.9003241414E0
  5.9403189205E0   2.9561003076E0   8.7315616823E0
  5.9744094391E0   2.9308555068E0   8.5634088927E0
  6.0084999576E0   2.9058636881E0   8.3958711713E0
  6.0425904762E0   2.8811223164E0   8.2289543298E0
  6.0766809948E0   2.8566288819E0   8.0626646225E0
  6.1107715134E0   2.8323808999E0   7.8970087780E0
  6.1448620320E0   2.8083759108E0   7.7319940360E0
  6.1789525506E0   2.7846114794E0   7.5676281866E0
  6.2130430692E0   2.7610851951E0   7.4039196152E0
  6.2471335878E0   2.7377946714E0   7.2408773523E0
  6.2812241064E0   2.7147375457E0   7.0785111294E0
  6.3153146249E0   2.6919114791E0   6.9168314421E0
  6.3494051435E0   2.6693141560E0   6.7558496215E0
  6.3834956621E0   2.6469432843E0   6.5955779149E0
  6.4175861807E0   2.6247965947E0   6.4360295781E0
  6.4516766993E0   2.6028718404E0   6.2772189806E0
  6.4857672179E0   2.5811667976E0   6.1191617277E0
  6.5198577365E0   2.5596792644E0   5.9618747999E0
  6.5539482551E0   2.5384070612E0   5.8053767167E0
  6.5880387737E0   2.5173480300E0   5.6496877272E0
  6.6221292922E0   2.4965000348E0   5.4948300349E0
  6.6562198108E0   2.4758609605E0   5.3408280639E0
  6.6903103294E0   2.4554287136E0   5.1877087776E0
  6.7244008480E0   2.4352012216E0   5.0355020623E0
  6.7584913666E0   2.4151764323E0   4.8842411940E0
  6.7925818852E0   2.3953523147E0   4.7339634128E0
  6.8266724038E0   2.3757268576E0   4.5847106369E0
  6.8607629224E0   2.3562980703E0   4.4365303620E0
  6.8948534410E0   2.3370639820E0   4.2894768123E0
  6.9289439595E0   2.3180226414E0   4.1436124363E0
  6.9630344781E0   2.2991721172E0   3.9990098895E0
  6.9971249967E0   2.2805104970E0   3.8557547214E0
  7.0312155153E0   2.2620358878E0   3.7139491123E0
  7.0653060339E0   2.2437464156E0   3.5737172359E0
  7.0993965525E0   2.2256402250E0   3.4352132475E0
  7.1334870711E0   2.2077154794E0   3.2986337542E0
  7.1675775897E0   2.1899703606E0   3.1642384746E0
  7.2016681083E0   2.1724030683E0   3.0323872709E0
  7.2357586268E0   2.1550118207E0   2.9036142449E0
  7.2698491454E0   2.1377948534E0   2.7788029010E0
  7.3039396640E0   2.1207504201E0   2.6597426568E0
  7.3380301826E0   2.1038767918E0   2.5539217963E0
