     4.0500   -1.826522E-02  4.268688E-02  1.212422E+01
     4.1000   -1.264467E-02  4.049498E-02  1.224881E+01
     4.1500   -8.308305E-03  3.938095E-02  1.235380E+01
     4.2000   -4.569781E-03  3.954906E-02  1.245056E+01
     4.2500   -4.586329E-04  4.016828E-02  1.255495E+01
     4.3000    4.274470E-03  4.186936E-02  1.266864E+01
     4.3500    1.024851E-02  4.447211E-02  1.279891E+01
     4.4000    1.779791E-02  4.773821E-02  1.294842E+01
     4.4500    2.628038E-02  5.089366E-02  1.310899E+01
     4.5000    3.573766E-02  5.436179E-02  1.328374E+01
     4.5500    4.558428E-02  5.799496E-02  1.347069E+01
     4.6000    5.499953E-02  6.167382E-02  1.366764E+01
     4.6500    6.261752E-02  6.494667E-02  1.386854E+01
     4.7000    6.807583E-02  6.820398E-02  1.407586E+01
     4.7500    7.057730E-02  7.139347E-02  1.428852E+01
     4.8000    6.947197E-02  7.447061E-02  1.450564E+01
     4.8500    6.426932E-02  7.717687E-02  1.472390E+01
     4.9000    5.505582E-02  7.974522E-02  1.494593E+01
     4.9500    4.199107E-02  8.212793E-02  1.517128E+01
     5.0000    2.558392E-02  8.427539E-02  1.539952E+01
     5.0500    6.755043E-03  8.604368E-02  1.562938E+01
     5.1000   -1.339752E-02  8.748282E-02  1.586171E+01
     5.1500   -3.349448E-02  8.853329E-02  1.609595E+01
     5.2000   -5.204372E-02  8.914059E-02  1.633141E+01
     5.2500   -6.759038E-02  8.910440E-02  1.656905E+01
     5.3000   -7.884171E-02  8.853080E-02  1.680653E+01
     5.3500   -8.497316E-02  8.739726E-02  1.704268E+01
     5.4000   -8.570373E-02  8.570403E-02  1.727613E+01
     5.4500   -8.114598E-02  8.328228E-02  1.750575E+01
     5.5000   -7.238737E-02  8.040080E-02  1.772903E+01
     5.5500   -6.073499E-02  7.717224E-02  1.794362E+01
     5.6000   -4.767050E-02  7.376370E-02  1.814688E+01
     5.6500   -3.446647E-02  7.024730E-02  1.833673E+01
     5.7000   -2.233878E-02  6.711171E-02  1.851022E+01
     5.7500   -1.176104E-02  6.471926E-02  1.866682E+01
     5.8000   -2.577667E-03  6.345178E-02  1.880892E+01
     5.8500    5.941397E-03  6.357479E-02  1.894315E+01
     5.9000    1.485531E-02  6.536747E-02  1.907882E+01
     5.9500    2.525973E-02  6.880224E-02  1.922548E+01
     6.0000    3.789479E-02  7.366989E-02  1.938985E+01
     6.0500    5.293375E-02  7.959536E-02  1.957710E+01
     6.1000    6.940020E-02  8.621211E-02  1.978522E+01
     6.1500    8.549081E-02  9.315707E-02  2.001182E+01
     6.2000    9.873015E-02  1.001115E-01  2.025404E+01
     6.2500    1.063820E-01  1.068028E-01  2.050915E+01
     6.3000    1.059746E-01  1.130000E-01  2.077483E+01
     6.3500    9.584193E-02  1.185080E-01  2.104915E+01
     6.4000    7.557003E-02  1.231633E-01  2.133057E+01
     6.4500    4.625187E-02  1.268304E-01  2.161786E+01
     6.5000    1.048191E-02  1.293992E-01  2.191006E+01
     6.5500   -2.828980E-02  1.303640E-01  2.220990E+01
     6.6000   -6.481295E-02  1.300336E-01  2.251294E+01
     6.6500   -9.452516E-02  1.283905E-01  2.281863E+01
     6.7000   -1.137358E-01  1.254406E-01  2.312652E+01
     6.7500   -1.202543E-01  1.212114E-01  2.343619E+01
     6.8000   -1.137681E-01  1.157509E-01  2.374730E+01
     6.8500   -9.589473E-02  1.091264E-01  2.405951E+01
     6.9000   -6.989324E-02  1.014228E-01  2.437246E+01
     6.9500   -4.008588E-02  9.274101E-02  2.468577E+01
     7.0000   -1.109562E-02  8.319628E-02  2.499898E+01
     7.0500    1.299905E-02  7.278543E-02  2.531230E+01
     7.1000    2.910482E-02  6.182533E-02  2.562289E+01
     7.1500    3.605426E-02  5.047405E-02  2.592838E+01
     7.2000    3.450704E-02  3.889920E-02  2.622374E+01
     7.2500    2.670137E-02  2.728832E-02  2.649576E+01
     7.3000    1.591294E-02  1.591354E-02  2.669486E+01
     7.3500    5.735670E-03  5.958993E-03  2.642890E+01
     7.4000   -6.692732E-04  8.630473E-03  2.505512E+01
     7.4500   -1.207606E-03  1.847315E-02  2.506732E+01
     7.5000    4.751842E-03  2.823469E-02  2.530184E+01
     7.5500    1.639046E-02  3.731933E-02  2.558744E+01
     7.6000    3.127440E-02  4.558371E-02  2.588884E+01
     7.6500    4.628938E-02  5.292797E-02  2.619730E+01
     7.7000    5.816436E-02  5.928062E-02  2.650917E+01
     7.7500    6.413477E-02  6.459203E-02  2.682260E+01
     7.8000    6.248233E-02  6.883259E-02  2.713646E+01
     7.8500    5.285007E-02  7.199199E-02  2.744998E+01
     7.9000    3.628050E-02  7.407872E-02  2.776252E+01
     7.9500    1.498330E-02  7.511950E-02  2.807353E+01
     8.0000   -8.107306E-03  7.515864E-02  2.838241E+01
     8.0500   -2.997747E-02  7.425480E-02  2.868990E+01
     8.1000   -4.776652E-02  7.249735E-02  2.899365E+01
     8.1500   -5.957541E-02  6.998144E-02  2.929280E+01
     8.2000   -6.459061E-02  6.681652E-02  2.958629E+01
     8.2500   -6.310151E-02  6.312571E-02  2.987282E+01
     8.3000   -5.630795E-02  5.904531E-02  3.015082E+01
     8.3500   -4.597743E-02  5.472469E-02  3.041835E+01
     8.4000   -3.403765E-02  5.032632E-02  3.067315E+01
     8.4500   -2.219568E-02  4.602531E-02  3.091271E+01
     8.5000   -1.166060E-02  4.200686E-02  3.113464E+01
     8.5500   -3.031473E-03  3.857502E-02  3.133726E+01
     8.6000    3.772614E-03  3.580010E-02  3.152150E+01
     8.6500    9.199733E-03  3.380768E-02  3.169152E+01
     8.7000    1.387296E-02  3.263894E-02  3.185494E+01
     8.7500    1.833554E-02  3.222936E-02  3.202110E+01
     8.8000    2.285346E-02  3.242082E-02  3.219821E+01
     8.8500    2.732074E-02  3.300319E-02  3.239114E+01
     8.9000    3.128359E-02  3.376118E-02  3.260123E+01
     8.9500    3.406910E-02  3.450650E-02  3.282733E+01
     9.0000    3.497850E-02  3.509155E-02  3.306701E+01
     9.0500    3.359554E-02  3.554602E-02  3.331953E+01
     9.1000    2.956031E-02  3.565524E-02  3.358010E+01
     9.1500    2.310281E-02  3.538153E-02  3.384603E+01
     9.2000    1.486896E-02  3.471423E-02  3.411488E+01
     9.2500    5.801771E-03  3.366552E-02  3.438432E+01
     9.3000   -3.044483E-03  3.226732E-02  3.465201E+01
     9.3500   -1.071081E-02  3.056918E-02  3.491550E+01
     9.4000   -1.651106E-02  2.863698E-02  3.517204E+01
     9.4500   -2.014001E-02  2.655247E-02  3.541853E+01
     9.5000   -2.168963E-02  2.441322E-02  3.565145E+01
     9.5500   -2.163460E-02  2.239279E-02  3.586735E+01
     9.6000   -2.050389E-02  2.054939E-02  3.606176E+01
     9.6500   -1.892271E-02  1.902732E-02  3.623322E+01
     9.7000   -1.737262E-02  1.795976E-02  3.638472E+01
     9.7500   -1.607849E-02  1.743375E-02  3.652522E+01
     9.8000   -1.497367E-02  1.745538E-02  3.666809E+01
     9.8500   -1.374940E-02  1.794237E-02  3.682604E+01
     9.9000   -1.197254E-02  1.875341E-02  3.700667E+01
     9.9500   -9.239411E-03  1.973128E-02  3.721179E+01
    10.0000   -5.324216E-03  2.073390E-02  3.743941E+01
    10.0500   -3.023219E-04  2.183858E-02  3.768527E+01
    10.1000    5.595761E-03  2.280145E-02  3.794706E+01
    10.1500    1.175277E-02  2.355357E-02  3.822153E+01
    10.2000    1.736378E-02  2.404543E-02  3.850598E+01
    10.2500    2.159607E-02  2.424378E-02  3.879819E+01
    10.3000    2.376670E-02  2.412913E-02  3.909637E+01
    10.3500    2.349647E-02  2.369373E-02  3.939903E+01
    10.4000    2.080361E-02  2.294007E-02  3.970491E+01
    10.4500    1.611419E-02  2.187962E-02  4.001283E+01
    10.5000    1.018550E-02  2.053175E-02  4.032162E+01
    10.5500    3.958262E-03  1.892280E-02  4.062997E+01
    10.6000   -1.629726E-03  1.708529E-02  4.093624E+01
    10.6500   -5.827540E-03  1.505741E-02  4.123810E+01
    10.7000   -8.212098E-03  1.288299E-02  4.153187E+01
    10.7500   -8.755759E-03  1.061277E-02  4.181094E+01
    10.8000   -7.806929E-03  8.309457E-03  4.206194E+01
    10.8500   -5.989828E-03  6.065451E-03  4.225343E+01
    10.9000   -4.047656E-03  4.072856E-03  4.230020E+01
    10.9500   -2.665668E-03  2.886243E-03  4.201801E+01
    11.0000   -2.314393E-03  3.335090E-03  4.160767E+01
    11.0500   -3.153797E-03  4.881153E-03  4.154319E+01
    11.1000   -5.055826E-03  6.722969E-03  4.169183E+01
    11.1500   -7.586930E-03  8.574002E-03  4.192693E+01
    11.2000   -1.010252E-02  1.032942E-02  4.220151E+01
    11.2500   -1.189279E-02  1.193619E-02  4.249679E+01
    11.3000   -1.234428E-02  1.336089E-02  4.280412E+01
    11.3500   -1.108139E-02  1.458045E-02  4.311896E+01
    11.4000   -8.057357E-03  1.557886E-02  4.343872E+01
    11.4500   -3.575098E-03  1.634590E-02  4.376180E+01
    11.5000    1.765589E-03  1.687651E-02  4.408711E+01
    11.5500    7.182440E-03  1.717044E-02  4.441387E+01
    11.6000    1.186150E-02  1.723190E-02  4.474150E+01
    11.6500    1.511199E-02  1.706932E-02  4.506950E+01
    11.7000    1.649307E-02  1.669493E-02  4.539743E+01
    11.7500    1.588727E-02  1.612450E-02  4.572484E+01
    11.8000    1.350775E-02  1.537682E-02  4.605128E+01
