# # Cu_crystal                                                   FEFF 9.05   
# # POT  SCF  30  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.449 Rnm= 1.502 K  shell
# # Pot 1 Z=29 Rmt= 1.356 Rnm= 1.393
# # Gam_ch=1.729E+00 H-L exch
# # Mu=-8.092E+00 kf=1.979E+00 Vint=-1.699E+01 Rs_int= 1.833
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 190.00  Debye_temp= 315.00  Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00610    100.00     12.00     2   2.5527
#           2       0.00748     22.75      6.00     2   3.6100
#           3       0.00687     10.29     48.00     3   3.8290
#           4       0.00757      7.06     48.00     3   4.3577
#           5       0.00767     54.81     24.00     2   4.4213
#           6       0.00772     10.83     48.00     3   4.7633
#           7       0.00772     16.53     96.00     3   4.7633
#     7/   7 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -1.303131E-01  2.168442E-01 -2.496900E+00
     0.0500   -1.315933E-01  2.186133E-01 -2.495657E+00
     0.1000   -1.329060E-01  2.203855E-01 -2.494259E+00
     0.1500   -1.370848E-01  2.256444E-01 -2.488651E+00
     0.2000   -1.415329E-01  2.309121E-01 -2.481829E+00
     0.2500   -1.495761E-01  2.394210E-01 -2.466793E+00
     0.3000   -1.582385E-01  2.478805E-01 -2.449219E+00
     0.3500   -1.712891E-01  2.590511E-01 -2.419152E+00
     0.4000   -1.851881E-01  2.700027E-01 -2.385787E+00
     0.4500   -2.038059E-01  2.828537E-01 -2.337019E+00
     0.5000   -2.230793E-01  2.952249E-01 -2.284985E+00
     0.5500   -2.464276E-01  3.085212E-01 -2.216398E+00
     0.6000   -2.695359E-01  3.210390E-01 -2.145094E+00
     0.6500   -2.947712E-01  3.334871E-01 -2.057444E+00
     0.7000   -3.180420E-01  3.448643E-01 -1.967801E+00
     0.7500   -3.402219E-01  3.552623E-01 -1.862817E+00
     0.8000   -3.580652E-01  3.643318E-01 -1.756538E+00
     0.8500   -3.708122E-01  3.716049E-01 -1.636126E+00
     0.9000   -3.767734E-01  3.773606E-01 -1.515002E+00
     0.9500   -3.740655E-01  3.808551E-01 -1.381690E+00
     1.0000   -3.629638E-01  3.827005E-01 -1.248239E+00
     1.0500   -3.410001E-01  3.818487E-01 -1.104021E+00
     1.1000   -3.107790E-01  3.793235E-01 -9.601856E-01
     1.1500   -2.701000E-01  3.739389E-01 -8.071376E-01
     1.2000   -2.235461E-01  3.669647E-01 -6.550211E-01
     1.2500   -1.697674E-01  3.571712E-01 -4.953176E-01
     1.3000   -1.144631E-01  3.459734E-01 -3.371973E-01
     1.3500   -5.719438E-02  3.322064E-01 -1.730273E-01
     1.4000   -3.587980E-03  3.173121E-01 -1.130766E-02
     1.4500    4.627917E-02  3.002600E-01  1.547472E-01
     1.5000    8.805727E-02  2.824415E-01  3.170571E-01
     1.5500    1.218738E-01  2.630694E-01  4.816885E-01
     1.6000    1.454530E-01  2.433736E-01  6.405712E-01
     1.6500    1.596762E-01  2.229246E-01  7.984555E-01
     1.7000    1.644566E-01  2.025083E-01  9.477386E-01
     1.7500    1.632275E-01  1.843479E-01  1.087423E+00
     1.8000    1.529726E-01  1.629110E-01  1.219696E+00
     1.8500    1.408802E-01  1.449071E-01  1.334495E+00
     1.9000    1.275362E-01  1.288588E-01  1.427397E+00
     1.9500    1.150667E-01  1.153652E-01  1.498840E+00
     2.0000    1.055909E-01  1.056225E-01  1.546328E+00
     2.0500    9.935236E-02  9.936030E-02  1.583443E+00
     2.1000    9.740079E-02  9.752508E-02  1.621289E+00
     2.1500    9.867009E-02  9.925041E-02  1.678989E+00
     2.2000    1.012309E-01  1.032210E-01  1.767478E+00
     2.2500    1.038985E-01  1.093672E-01  1.888365E+00
     2.3000    1.018841E-01  1.147113E-01  2.048228E+00
     2.3500    9.280772E-02  1.180616E-01  2.237126E+00
