 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =   0.86458999999999986       eV
 efermi =   -7.7295476900000004       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.7074139085E+000  -0.1666395079E-003   0.1396878541E-004   0.9761555146E+000  -0.1707100000E-003   0.1431000000E-004
  -0.6915272741E+000  -0.1594695339E-003   0.1431734484E-004   0.9752295372E+000  -0.1635200000E-003   0.1468100000E-004
  -0.6756406397E+000  -0.1521063579E-003   0.1475664513E-004   0.9742288987E+000  -0.1561300000E-003   0.1514700000E-004
  -0.6597540053E+000  -0.1445313784E-003   0.1532312877E-004   0.9731442123E+000  -0.1485200000E-003   0.1574600000E-004
  -0.6438673709E+000  -0.1366873611E-003   0.1607434813E-004   0.9719644533E+000  -0.1406300000E-003   0.1653800000E-004
  -0.6279807365E+000  -0.1285369935E-003   0.1710914551E-004   0.9706765862E+000  -0.1324200000E-003   0.1762600000E-004
  -0.6120941020E+000  -0.1200531736E-003   0.1859147362E-004   0.9692650863E+000  -0.1238600000E-003   0.1918100000E-004
  -0.5962074676E+000  -0.1113738956E-003   0.2071289304E-004   0.9677113177E+000  -0.1150900000E-003   0.2140400000E-004
  -0.5803208332E+000  -0.1027140055E-003   0.2355573238E-004   0.9659927161E+000  -0.1063300000E-003   0.2438500000E-004
  -0.5644341988E+000  -0.9429683115E-004   0.2706177334E-004   0.9640817007E+000  -0.9781000000E-004   0.2807000000E-004
  -0.5485475644E+000  -0.8623829806E-004   0.3111504729E-004   0.9619442059E+000  -0.8965000000E-004   0.3234600000E-004
  -0.5326609300E+000  -0.7860436613E-004   0.3560172605E-004   0.9595376669E+000  -0.8191900000E-004   0.3710300000E-004
  -0.5167742956E+000  -0.7142286253E-004   0.4041844926E-004   0.9568082110E+000  -0.7464700000E-004   0.4224300000E-004
  -0.5008876612E+000  -0.6470573288E-004   0.4547845602E-004   0.9536866655E+000  -0.6784800000E-004   0.4768700000E-004
  -0.4850010268E+000  -0.5844814132E-004   0.5070211658E-004   0.9500827601E+000  -0.6151900000E-004   0.5336600000E-004
  -0.4691143924E+000  -0.5264370300E-004   0.5601575276E-004   0.9458765093E+000  -0.5565600000E-004   0.5922100000E-004
  -0.4532277580E+000  -0.4727671517E-004   0.6134983201E-004   0.9409050505E+000  -0.5024600000E-004   0.6520300000E-004
  -0.4373411235E+000  -0.4232949575E-004   0.6663237621E-004   0.9349419272E+000  -0.4527500000E-004   0.7126900000E-004
  -0.4214544891E+000  -0.3778094458E-004   0.7178444407E-004   0.9276633335E+000  -0.4072700000E-004   0.7738200000E-004
  -0.4055678547E+000  -0.3360573002E-004   0.7671152727E-004   0.9185909145E+000  -0.3658400000E-004   0.8351000000E-004
  -0.3896812203E+000  -0.2977377453E-004   0.8128901642E-004   0.9069904203E+000  -0.3282700000E-004   0.8962500000E-004
  -0.3737945859E+000  -0.2624847218E-004   0.8533673722E-004   0.8916829903E+000  -0.2943700000E-004   0.9570300000E-004
  -0.3579079515E+000  -0.2298233175E-004   0.8856503961E-004   0.8706747897E+000  -0.2639600000E-004   0.1017200000E-003
  -0.3420213171E+000  -0.1990394168E-004   0.9048545014E-004   0.8403961191E+000  -0.2368400000E-004   0.1076700000E-003
  -0.3261346827E+000  -0.1690157613E-004   0.9015021015E-004   0.7941350436E+000  -0.2128300000E-004   0.1135200000E-003
  -0.3102480483E+000  -0.1379471946E-004   0.8580870921E-004   0.7194492262E+000  -0.1917400000E-004   0.1192700000E-003
  -0.2943614139E+000  -0.1040119893E-004   0.7492582228E-004   0.5998384619E+000  -0.1734000000E-004   0.1249100000E-003
  -0.2840555365E+000  -0.8143500000E-005   0.6425000000E-004   0.5000000000E+000  -0.1628700000E-004   0.1285000000E-003
  -0.2625881451E+000  -0.5063011962E-005   0.3994578726E-004   0.3108621577E+000  -0.1628700000E-004   0.1285000000E-003
