# E(eV)    Loss
  2.506579971000000E-003  2.584110285182643E-002
  4.693440162000000E-003  6.110565300021024E-002
  4.693440162000000E-003  6.110565300021024E-002
  7.560589816000000E-003  0.137873651019289     
  7.560589816000000E-003  0.137873651019289     
  1.110799983000000E-002  0.197615076602388     
  1.110799983000000E-002  0.197615076602388     
  1.533569954000000E-002  0.176036698594896     
  1.533569954000000E-002  0.176036698594896     
  2.024370059000000E-002  0.130985102105076     
  2.024370059000000E-002  0.130985102105076     
  2.583199926000000E-002  9.647313008246317E-002
  2.583199926000000E-002  9.647313008246317E-002
  3.210059926000000E-002  7.327868320328479E-002
  3.210059926000000E-002  7.327868320328479E-002
  3.904939815000000E-002  5.754514458227847E-002
  3.904939815000000E-002  5.754514458227847E-002
  4.667859897000000E-002  4.648362639476809E-002
  4.667859897000000E-002  4.648362639476809E-002
  6.397770345000001E-002  3.234015985595217E-002
  6.397770345000001E-002  3.234015985595217E-002
  9.502860159000000E-002  2.090473849868058E-002
  9.502860159000000E-002  2.090473849868058E-002
  0.175497993800000       1.163710138576912E-002
  0.175497993800000       1.163710138576912E-002
  0.483815997800000       4.456107904958594E-003
  0.483815997800000       4.456107904958594E-003
   1.55964005000000       1.756534381447694E-003
   1.55964005000000       1.756534381447694E-003
   2.67701005900000       1.389098769290612E-003
   2.67701005900000       1.389098769290612E-003
   3.45021009400000       1.429360611002168E-003
   3.45021009400000       1.429360611002168E-003
   4.02009010300000       1.671501200267435E-003
   4.02009010300000       1.671501200267435E-003
   4.32136011100000       2.030116923375253E-003
   4.32136011100000       2.030116923375253E-003
   4.55446004900000       2.662743024082718E-003
   4.55446004900000       2.662743024082718E-003
   4.71326017400000       5.589355565303053E-003
   4.71326017400000       5.589355565303053E-003
   4.79368019100000       6.969526056983063E-003
   4.79368019100000       6.969526056983063E-003
   4.87478017800000       7.581282674171992E-003
   4.87478017800000       7.581282674171992E-003
   4.95656013500000       1.622747094702801E-002
   4.95656013500000       1.622747094702801E-002
   5.02755022000000       2.517918839891212E-002
   5.02755022000000       2.517918839891212E-002
   5.15000009500000       3.960334276469489E-002
   5.15000009500000       3.960334276469489E-002
   5.19591999100000       4.652905666020788E-002
   5.19591999100000       4.652905666020788E-002
   5.26667022700000       5.324737484306193E-002
   5.26667022700000       5.324737484306193E-002
   5.54422998400000       6.841644016884262E-002
   5.54422998400000       6.841644016884262E-002
   5.81667995500000       7.132415937540919E-002
   5.81667995500000       7.132415937540919E-002
   6.06668996800000       6.431748328282987E-002
   6.06668996800000       6.431748328282987E-002
   6.26566982300000       5.214565066931961E-002
   6.26566982300000       5.214565066931961E-002
   6.39321994800000       4.143142541305053E-002
   6.39321994800000       4.143142541305053E-002
   6.48165988900000       3.280314500420985E-002
   6.48165988900000       3.280314500420985E-002
   6.52689981500000       2.798862702752133E-002
   6.52689981500000       2.798862702752133E-002
   6.57282018700000       2.273413363662959E-002
   6.57282018700000       2.273413363662959E-002
   6.61942005200000       1.667319805788284E-002
   6.61942005200000       1.667319805788284E-002
   6.66669988600000       9.720630833137510E-003
   6.66669988600000       9.720630833137510E-003
   6.71466016800000       2.981950469427144E-002
   6.71466016800000       2.981950469427144E-002
   6.76329994200000       4.024205193413763E-002
   6.76329994200000       4.024205193413763E-002
   6.81262016300000       4.740623801071908E-002
   6.81262016300000       4.740623801071908E-002
   6.86261987700000       5.336490988363986E-002
   6.86261987700000       5.336490988363986E-002
   7.01669979100000       6.615044887490559E-002
   7.01669979100000       6.615044887490559E-002
   7.12282991400000       7.442021693126950E-002
   7.12282991400000       7.442021693126950E-002
   7.28711986500000       8.445453734328247E-002
   7.28711986500000       8.445453734328247E-002
   7.40004015000000       9.238094063655435E-002
   7.40004015000000       9.238094063655435E-002
   7.63405990600000       0.107173670238740     
   7.63405990600000       0.107173670238740     
   7.81672000900000       0.119766228237761     
   7.81672000900000       0.119766228237761     
   8.00549030300000       0.134633945562823     
   8.00549030300000       0.134633945562823     
   8.33372974400000       0.163382417926705     
   8.33372974400000       0.163382417926705     
   8.53884029400000       0.189028362498072     
   8.53884029400000       0.189028362498072     
   9.04123020200000       0.262887111134542     
   9.04123020200000       0.262887111134542     
   9.19089031200000       0.295535834652321     
   9.19089031200000       0.295535834652321     
   9.73614025100000       0.405860598644633     
   9.73614025100000       0.405860598644633     
   10.4861002000000       0.626541096382326     
   10.4861002000000       0.626541096382326     
   11.1076002100000       0.822742488554718     
   11.1076002100000       0.822742488554718     
   11.5719003700000       0.920296684419503     
   11.5719003700000       0.920296684419503     
   12.3500995600000       0.929294713490168     
   12.3500995600000       0.929294713490168     
   13.2777004200000       0.807263938079672     
   13.2777004200000       0.807263938079672     
   14.2603998200000       0.682507481398519     
   14.2603998200000       0.682507481398519     
   15.4167995500000       0.587997478481205     
   15.4167995500000       0.587997478481205     
   16.8943996400000       0.524666514447223     
   16.8943996400000       0.524666514447223     
   18.8791999800000       0.489895245680181     
   18.8791999800000       0.489895245680181     
   21.6128997800000       0.478720366964196     
   21.6128997800000       0.478720366964196     
   30.9106998400000       0.458584679558279     
   30.9106998400000       0.458584679558279     
   38.3233985900000       0.419527481993065     
   38.3233985900000       0.419527481993065     
   47.8664016700000       0.366835814431684     
   47.8664016700000       0.366835814431684     
   58.0705986000000       0.306927022253987     
   58.0705986000000       0.306927022253987     
   66.7277984600000       0.255576598785791     
   66.7277984600000       0.255576598785791     
   72.0544967700000       0.226266152937250     
   72.0544967700000       0.226266152937250     
   74.1856002800000       0.217733932037481     
   74.1856002800000       0.217733932037481     
   75.3861007700000       0.223679654057885     
   75.3861007700000       0.223679654057885     
   77.6268997200000       0.240555005790351     
   77.6268997200000       0.240555005790351     
   80.2418975800000       0.246133558546378     
   80.2418975800000       0.246133558546378     
   85.1585998500000       0.229626685467968     
   85.1585998500000       0.229626685467968     
   90.9057006800000       0.195972012501245     
   90.9057006800000       0.195972012501245     
   98.9003982500000       0.156804077169674     
   98.9003982500000       0.156804077169674     
   111.696998600000       0.116531146136823     
   111.696998600000       0.116531146136823     
   122.941001900000       9.533065565652542E-002
   122.941001900000       9.533065565652542E-002
   145.141006500000       6.767865542372946E-002
   145.141006500000       6.767865542372946E-002
   171.100997900000       4.683991016300509E-002
   171.100997900000       4.683991016300509E-002
   198.921997100000       3.260773428040110E-002
   198.921997100000       3.260773428040110E-002
   228.408996600000       2.285836011112640E-002
   228.408996600000       2.285836011112640E-002
   258.794006300000       1.628441737828068E-002
   258.794006300000       1.628441737828068E-002
   291.562011700000       1.164156914932775E-002
   291.562011700000       1.164156914932775E-002
   326.802002000000       8.343886813818759E-003
   326.802002000000       8.343886813818759E-003
   364.226989700000       6.034947885382975E-003
   364.226989700000       6.034947885382975E-003
   402.325012200000       4.488949369579410E-003
   402.325012200000       4.488949369579410E-003
   453.194000200000       3.102545010732333E-003
   453.194000200000       3.102545010732333E-003
   496.089996300000       2.350901691584746E-003
   496.089996300000       2.350901691584746E-003
   558.379028300000       1.600326228379961E-003
   558.379028300000       1.600326228379961E-003
   623.815979000000       1.126771487436145E-003
   687.671020500000       8.245810831999040E-004
   768.411987300000       5.709379301658176E-004
   867.572998000000       3.810161945932623E-004
   897.057983400000       3.421492372549878E-004
   911.497009300000       3.241676188006757E-004
   918.765991200000       3.240140520303773E-004
   922.934997600000       3.229044062359751E-004
   926.068969700000       3.250084181576607E-004
   928.161010700000       3.303477174690850E-004
   929.208984400000       3.360807160295056E-004
   930.257019000000       3.469006123766932E-004
   931.304992700000       3.728153723449813E-004
   932.354980500000       5.043515354966877E-004
   932.721984900000       6.959337081353574E-004
   932.913024900000       8.212102819749703E-004
   933.244018600000       9.717418662481957E-004
   933.804992700000       1.119538669561533E-003
   934.877014200000       1.370957532131362E-003
   935.517028800000       1.454711586532823E-003
   939.461975100000       1.837028932396458E-003
   941.960022000000       1.972820966106462E-003
   944.341003400000       1.975169648438223E-003
   947.557983400000       1.899553711855344E-003
   950.382019000000       1.852972225961563E-003
   951.804992700000       1.887675241595278E-003
   952.765991200000       2.014243260956782E-003
   954.815979000000       2.210011007781172E-003
   960.262023900000       2.417158288735277E-003
   964.838989300000       2.400074700021497E-003
   973.729003900000       2.251255908362873E-003
   989.791992200000       2.051869332831155E-003
   1019.04998800000       1.794899616342518E-003
   1062.81005900000       1.516531063502789E-003
   1091.61999500000       1.400059059259368E-003
   1097.68994100000       1.461441453317932E-003
   1105.63000500000       1.454113764113802E-003
   1182.42004400000       1.176926193408503E-003
   1309.53002900000       8.349765900202480E-004
   1480.33996600000       5.527348809723396E-004
   1655.75000000000       3.764539672038236E-004
   1846.81994600000       2.572707853784006E-004
   2054.46997100000       1.763106425018942E-004
   2281.10009800000       1.213993513478116E-004
   2531.78002900000       8.350632210088424E-005
   2815.67993200000       5.686480196650525E-005
   3128.48999000000       3.863939911253564E-005
   3478.23999000000       2.612953133748082E-005
   3867.37988300000       1.762613967511752E-005
   4302.64013700000       1.183994745212931E-005
   4789.74023400000       7.919494663126605E-006
   5337.60009800000       5.267195233772313E-006
   5951.56005900000       3.489400961010532E-006
   6638.91992200000       2.314446657007664E-006
   7418.52002000000       1.509354653122605E-006
   8393.59960900000       9.439813003049633E-007
   8868.62011700000       7.636020557460937E-007
   8951.24023400000       7.371074843484848E-007
   8971.20996100000       8.981298980315637E-007
   8974.84960900000       1.060663143289650E-006
   8976.66992200000       1.325972589758543E-006
   8978.49023400000       2.536341368903882E-006
   8979.00000000000       3.465638435540338E-006
   8979.95996100000       5.029773269315563E-006
   8981.87988300000       5.693669620214937E-006
   8985.11035200000       5.152220136704667E-006
   9036.45996100000       5.419990893479253E-006
   9183.29980500000       5.242157188363478E-006
   9845.45019500000       4.090005535134755E-006
   11229.2002000000       2.569328577532314E-006
   12640.7002000000       1.669533080611888E-006
   14171.0000000000       1.093562325029453E-006
