   0.01414   0.00004
   0.02468   0.00005
   0.04684   0.00002
   0.08340   0.00004
   0.25420   0.00009
   4.47979   0.00155
   6.75441   0.00237
   8.02690   0.00284
   8.75833   0.00307
   9.28084   0.00335
   9.69646   0.00355
  10.04473   0.00371
  10.34306   0.00382
  10.60214   0.00372
  10.83163   0.00378
  11.05140   0.00414
  11.26074   0.00400
  11.46071   0.00420
  11.65997   0.00431
  11.85996   0.00432
  12.05996   0.00433
  12.25996   0.00434
  12.46931   0.00470
  12.68929   0.00455
  12.91913   0.00480
  13.15910   0.00462
  13.40894   0.00481
  13.67872   0.00495
  13.96846   0.00505
  14.27851   0.00511
  14.60853   0.00520
  14.95829   0.00527
  15.32817   0.00530
  15.72851   0.00565
  16.15833   0.00573
  16.60814   0.00578
  17.08874   0.00610
  17.59867   0.00623
  18.12857   0.00636
  18.67850   0.00647
  19.25906   0.00686
  19.86902   0.00705
  20.49898   0.00724
  21.14894   0.00742
  21.81903   0.00761
  22.50902   0.00781
  23.22892   0.00823
  23.97889   0.00842
  24.74886   0.00861
  25.54877   0.00902
  26.37874   0.00921
  27.23865   0.00961
  28.12862   0.00978
  29.04853   0.01017
  30.00844   0.01056
  30.99806   0.01071
  32.02761   0.01123
  33.10745   0.01150
  34.23719   0.01197
  35.42692   0.01241
  36.67664   0.01282
  37.98633   0.01321
  39.36582   0.01375
  40.82535   0.01424
  42.36486   0.01468
  43.99420   0.01526
  45.73334   0.01594
  47.59232   0.01654
  49.58086   0.01719
  51.71928   0.01788
  54.03708   0.01872
  56.57410   0.01964
  59.36995   0.02057
  62.48387   0.02167
  66.00497   0.02285
  70.05236   0.02418
  74.75142   0.02586
  79.61257   0.02751
  84.69941   0.02924
  90.75393   0.03134
  98.64758   0.03408
 109.62291   0.03783
 126.10516   0.04353
 153.91175   0.05310
 233.32646   0.08049
 540.93925   0.02685
