 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.2672882528E+02    0.2916165288E+02
    0.1584612949E-03    0.2672881860E+02    0.2916164619E+02
    0.1665857792E-03    0.2672880488E+02    0.2916163247E+02
    0.1751268148E-03    0.2672878371E+02    0.2916161130E+02
    0.1841057586E-03    0.2672875463E+02    0.2916158222E+02
    0.1935450626E-03    0.2672871711E+02    0.2916154470E+02
    0.2034683302E-03    0.2672867056E+02    0.2916149814E+02
    0.2139003746E-03    0.2672861430E+02    0.2916144187E+02
    0.2248672813E-03    0.2672854759E+02    0.2916137516E+02
    0.2363964733E-03    0.2672846960E+02    0.2916129715E+02
    0.2485167797E-03    0.2672837938E+02    0.2916120693E+02
    0.2612585075E-03    0.2672827592E+02    0.2916110345E+02
    0.2746535176E-03    0.2672815804E+02    0.2916098556E+02
    0.2887353046E-03    0.2672802448E+02    0.2916085199E+02
    0.3035390802E-03    0.2672787382E+02    0.2916070131E+02
    0.3191018616E-03    0.2672770449E+02    0.2916053196E+02
    0.3354625639E-03    0.2672751476E+02    0.2916034220E+02
    0.3526620974E-03    0.2672730270E+02    0.2916013012E+02
    0.3707434697E-03    0.2672706620E+02    0.2915989360E+02
    0.3897518939E-03    0.2672680293E+02    0.2915963029E+02
    0.4097349008E-03    0.2672651029E+02    0.2915933762E+02
    0.4307424584E-03    0.2672618545E+02    0.2915901274E+02
    0.4528270965E-03    0.2672582526E+02    0.2915865251E+02
    0.4760440382E-03    0.2672542626E+02    0.2915825346E+02
    0.5004513380E-03    0.2672498465E+02    0.2915781180E+02
    0.5261100268E-03    0.2672449622E+02    0.2915732331E+02
    0.5530842647E-03    0.2672395635E+02    0.2915678338E+02
    0.5814415013E-03    0.2672335995E+02    0.2915618692E+02
    0.6112526445E-03    0.2672270143E+02    0.2915552832E+02
    0.6425922378E-03    0.2672197462E+02    0.2915480143E+02
    0.6755386463E-03    0.2672117275E+02    0.2915399946E+02
    0.7101742534E-03    0.2672028835E+02    0.2915311496E+02
