     162 k-points generated in the IBZ, or      162 in the full BZ, while      200 were asked for
 Number of energy points =   119
  FMS matrix at point   1 , number of state kets =  72
  FMS matrix at point   2 , number of state kets =  72
  FMS matrix at point   3 , number of state kets =  72
  FMS matrix at point   4 , number of state kets =  72
  FMS matrix at point   5 , number of state kets =  72
  FMS matrix at point   6 , number of state kets =  72
  FMS matrix at point   7 , number of state kets =  72
  FMS matrix at point   8 , number of state kets =  72
  FMS matrix at point   9 , number of state kets =  72
  FMS matrix at point  10 , number of state kets =  72
  FMS matrix at point  11 , number of state kets =  72
  FMS matrix at point  12 , number of state kets =  72
  FMS matrix at point  13 , number of state kets =  72
  FMS matrix at point  14 , number of state kets =  72
  FMS matrix at point  15 , number of state kets =  72
  FMS matrix at point  16 , number of state kets =  72
  FMS matrix at point  17 , number of state kets =  72
  FMS matrix at point  18 , number of state kets =  72
  FMS matrix at point  19 , number of state kets =  72
  FMS matrix at point  20 , number of state kets =  72
  FMS matrix at point  21 , number of state kets =  72
  FMS matrix at point  22 , number of state kets =  72
  FMS matrix at point  23 , number of state kets =  72
  FMS matrix at point  24 , number of state kets =  72
  FMS matrix at point  25 , number of state kets =  72
  FMS matrix at point  26 , number of state kets =  72
  FMS matrix at point  27 , number of state kets =  72
  FMS matrix at point  28 , number of state kets =  72
  FMS matrix at point  29 , number of state kets =  72
  FMS matrix at point  30 , number of state kets =  72
  FMS matrix at point  31 , number of state kets =  72
  FMS matrix at point  32 , number of state kets =  72
  FMS matrix at point  33 , number of state kets =  72
  FMS matrix at point  34 , number of state kets =  72
  FMS matrix at point  35 , number of state kets =  72
  FMS matrix at point  36 , number of state kets =  72
  FMS matrix at point  37 , number of state kets =  72
  FMS matrix at point  38 , number of state kets =  72
  FMS matrix at point  39 , number of state kets =  72
  FMS matrix at point  40 , number of state kets =  72
  FMS matrix at point  41 , number of state kets =  72
  FMS matrix at point  42 , number of state kets =  72
  FMS matrix at point  43 , number of state kets =  72
  FMS matrix at point  44 , number of state kets =  72
  FMS matrix at point  45 , number of state kets =  72
  FMS matrix at point  46 , number of state kets =  72
  FMS matrix at point  47 , number of state kets =  72
  FMS matrix at point  48 , number of state kets =  72
  FMS matrix at point  49 , number of state kets =  72
  FMS matrix at point  50 , number of state kets =  72
  FMS matrix at point  51 , number of state kets =  72
  FMS matrix at point  52 , number of state kets =  72
  FMS matrix at point  53 , number of state kets =  72
  FMS matrix at point  54 , number of state kets =  72
  FMS matrix at point  55 , number of state kets =  72
  FMS matrix at point  56 , number of state kets =  72
  FMS matrix at point  57 , number of state kets =  72
  FMS matrix at point  58 , number of state kets =  72
  FMS matrix at point  59 , number of state kets =  72
  FMS matrix at point  60 , number of state kets =  72
  FMS matrix at point  61 , number of state kets =  72
  FMS matrix at point  62 , number of state kets =  72
  FMS matrix at point  63 , number of state kets =  72
  FMS matrix at point  64 , number of state kets =  72
  FMS matrix at point  65 , number of state kets =  72
  FMS matrix at point  66 , number of state kets =  72
  FMS matrix at point  67 , number of state kets =  72
  FMS matrix at point  68 , number of state kets =  72
  FMS matrix at point  69 , number of state kets =  72
  FMS matrix at point  70 , number of state kets =  72
  FMS matrix at point  71 , number of state kets =  72
  FMS matrix at point  72 , number of state kets =  72
  FMS matrix at point  73 , number of state kets =  72
  FMS matrix at point  74 , number of state kets =  72
  FMS matrix at point  75 , number of state kets =  72
  FMS matrix at point  76 , number of state kets =  72
  FMS matrix at point  77 , number of state kets =  72
  FMS matrix at point  78 , number of state kets =  72
  FMS matrix at point  79 , number of state kets =  72
  FMS matrix at point  80 , number of state kets =  72
  FMS matrix at point  81 , number of state kets =  72
  FMS matrix at point  82 , number of state kets =  72
  FMS matrix at point  83 , number of state kets =  72
  FMS matrix at point  84 , number of state kets =  72
  FMS matrix at point  85 , number of state kets =  72
  FMS matrix at point  86 , number of state kets =  72
  FMS matrix at point  87 , number of state kets =  72
  FMS matrix at point  88 , number of state kets =  72
  FMS matrix at point  89 , number of state kets =  72
  FMS matrix at point  90 , number of state kets =  72
  FMS matrix at point  91 , number of state kets =  72
  FMS matrix at point  92 , number of state kets =  72
  FMS matrix at point  93 , number of state kets =  72
  FMS matrix at point  94 , number of state kets =  72
  FMS matrix at point  95 , number of state kets =  72
  FMS matrix at point  96 , number of state kets =  72
  FMS matrix at point  97 , number of state kets =  72
  FMS matrix at point  98 , number of state kets =  72
  FMS matrix at point  99 , number of state kets =  72
  FMS matrix at point 100 , number of state kets =  72
  FMS matrix at point 101 , number of state kets =  72
  FMS matrix at point 102 , number of state kets =  72
  FMS matrix at point 103 , number of state kets =  72
  FMS matrix at point 104 , number of state kets =  72
  FMS matrix at point 105 , number of state kets =  72
  FMS matrix at point 106 , number of state kets =  72
  FMS matrix at point 107 , number of state kets =  72
  FMS matrix at point 108 , number of state kets =  72
  FMS matrix at point 109 , number of state kets =  72
  FMS matrix at point 110 , number of state kets =  72
  FMS matrix at point 111 , number of state kets =  72
  FMS matrix at point 112 , number of state kets =  72
  FMS matrix at point 113 , number of state kets =  72
  FMS matrix at point 114 , number of state kets =  72
  FMS matrix at point 115 , number of state kets =  72
  FMS matrix at point 116 , number of state kets =  72
  FMS matrix at point 117 , number of state kets =  72
  FMS matrix at point 118 , number of state kets =  72
  FMS matrix at point 119 , number of state kets =  72
 Done with module 3: FMS.
     162 k-points generated in the IBZ, or      162 in the full BZ, while      200 were asked for
 Done with module: MKGTR.
