natx =     1000
    x       y        z       iph  
      0.00000     -5.88000      4.03667   2      7.13226
      0.00000      5.88000      4.03667   2      7.13226
      5.09223     -2.94000      4.03667   2      7.13226
      5.09223      2.94000     -4.03667   2      7.13226
     -5.09223     -2.94000      4.03667   2      7.13226
      5.09223      2.94000      4.03667   2      7.13226
      3.39482     -5.88000      3.02750   1      7.43404
      3.39482     -5.88000     -3.02750   1      7.43404
      3.39482      5.88000     -3.02750   1      7.43404
      3.39482      5.88000      3.02750   1      7.43404
     -0.84870     -4.41000      6.05500   3      7.53866
     -0.84870      4.41000      6.05500   3      7.53866
     -3.39482     -2.94000      6.05500   3      7.53866
      4.24352     -1.47000      6.05500   3      7.53866
      4.24352      1.47000      6.05500   3      7.53866
     -3.39482      2.94000      6.05500   3      7.53866
     -0.84870     -4.41000     -6.05500   3      7.53866
     -3.39482      2.94000     -6.05500   3      7.53866
      4.24352     -1.47000     -6.05500   3      7.53866
     -0.84870      4.41000     -6.05500   3      7.53866
     -3.39482     -2.94000     -6.05500   3      7.53866
      4.24352      1.47000     -6.05500   3      7.53866
      6.78964     -2.94000     -2.01833   2      7.66919
      6.78964     -2.94000      2.01833   2      7.66919
     -0.84870      7.35000     -2.01833   2      7.66919
     -0.84870      7.35000      2.01833   2      7.66919
      6.78964      2.94000     -2.01833   2      7.66919
      6.78964      2.94000      2.01833   2      7.66919
     -5.09223      5.88000      0.00000   3      7.77851
     -2.54611      7.35000      0.00000   3      7.77851
      2.54611     -7.35000      0.00000   3      7.77851
      5.09223     -5.88000      0.00000   3      7.77851
      0.84870      7.35000     -3.02750   1      7.99428
      0.84870      7.35000      3.02750   1      7.99428
      5.94093     -4.41000     -3.02750   1      7.99428
      5.94093     -4.41000      3.02750   1      7.99428
      5.94093      4.41000     -3.02750   1      7.99428
      5.94093      4.41000      3.02750   1      7.99428
      0.00000      0.00000     -8.07333   2      8.07333
      0.00000      0.00000      8.07333   2      8.07333
     -2.54611     -1.47000     -8.07333   2      8.59199
     -2.54611      1.47000     -8.07333   2      8.59199
      0.00000     -2.94000     -8.07333   2      8.59199
      0.00000      2.94000     -8.07333   2      8.59199
      2.54611     -1.47000     -8.07333   2      8.59199
      2.54611      1.47000     -8.07333   2      8.59199
     -2.54611     -1.47000      8.07333   2      8.59199
     -2.54611      1.47000      8.07333   2      8.59199
      0.00000     -2.94000      8.07333   2      8.59199
      0.00000      2.94000      8.07333   2      8.59199
      2.54611     -1.47000      8.07333   2      8.59199
      2.54611      1.47000      8.07333   2      8.59199
      1.69741     -5.88000      6.05500   3      8.60922
      4.24352     -4.41000      6.05500   3      8.60922
      1.69741     -5.88000     -6.05500   3      8.60922
      1.69741      5.88000     -6.05500   3      8.60922
      1.69741      5.88000      6.05500   3      8.60922
      4.24352     -4.41000     -6.05500   3      8.60922
      4.24352      4.41000     -6.05500   3      8.60922
      4.24352      4.41000      6.05500   3      8.60922
      4.24352     -7.35000     -2.01833   2      8.72374
      4.24352     -7.35000      2.01833   2      8.72374
     -2.54611      7.35000     -4.03667   2      8.76355
      2.54611     -7.35000     -4.03667   2      8.76355
      5.09223     -5.88000     -4.03667   2      8.76355
     -5.09223      5.88000     -4.03667   2      8.76355
     -2.54611      7.35000      4.03667   2      8.76355
     -5.09223      5.88000      4.03667   2      8.76355
      2.54611     -7.35000      4.03667   2      8.76355
      5.09223     -5.88000      4.03667   2      8.76355
     -4.24352      7.35000     -3.02750   1      9.01087
     -4.24352      7.35000      3.02750   1      9.01087
     -3.39482      5.88000     -6.05500   3      9.09737
     -3.39482      5.88000      6.05500   3      9.09737
      6.78964      0.00000      6.05500   3      9.09737
      6.78964      0.00000     -6.05500   3      9.09737
      6.78964     -5.88000     -2.01833   2      9.20583
      6.78964     -5.88000      2.01833   2      9.20583
     -1.69741      0.00000     -9.08250   1      9.23975
     -1.69741      0.00000      9.08250   1      9.23975
      0.84870     -1.47000     -9.08250   1      9.23975
      0.84870     -1.47000      9.08250   1      9.23975
      0.84870      1.47000     -9.08250   1      9.23975
      0.84870      1.47000      9.08250   1      9.23975
     -1.69741      8.82000     -3.02750   1      9.47836
     -1.69741      8.82000      3.02750   1      9.47836
     -2.54611      4.41000     -8.07333   2      9.54513
      2.54611     -4.41000     -8.07333   2      9.54513
     -2.54611     -4.41000      8.07333   2      9.54513
     -2.54611     -4.41000     -8.07333   2      9.54513
     -2.54611      4.41000      8.07333   2      9.54513
      2.54611     -4.41000      8.07333   2      9.54513
     -5.09223      0.00000     -8.07333   2      9.54513
      2.54611      4.41000     -8.07333   2      9.54513
      2.54611      4.41000      8.07333   2      9.54513
     -5.09223      0.00000      8.07333   2      9.54513
      5.09223      0.00000     -8.07333   2      9.54513
      5.09223      0.00000      8.07333   2      9.54513
      6.78964     -2.94000      6.05500   3      9.56064
     -0.84870      7.35000      6.05500   3      9.56064
      6.78964     -2.94000     -6.05500   3      9.56064
     -0.84870      7.35000     -6.05500   3      9.56064
      6.78964      2.94000     -6.05500   3      9.56064
      6.78964      2.94000      6.05500   3      9.56064
     -3.39482      8.82000     -2.01833   2      9.66390
     -3.39482      8.82000      2.01833   2      9.66390
     -1.69741      2.94000     -9.08250   1      9.69622
     -1.69741      2.94000      9.08250   1      9.69622
     -1.69741     -2.94000      9.08250   1      9.69622
      3.39482      0.00000     -9.08250   1      9.69622
      3.39482      0.00000      9.08250   1      9.69622
     -1.69741     -2.94000     -9.08250   1      9.69622
      5.94093     -7.35000     -3.02750   1      9.92386
      5.94093     -7.35000      3.02750   1      9.92386
      0.00000     -5.88000     -8.07333   2      9.98765
      0.00000     -5.88000      8.07333   2      9.98765
      0.00000      5.88000     -8.07333   2      9.98765
      0.00000      5.88000      8.07333   2      9.98765
     -5.09223      2.94000      8.07333   2      9.98765
     -5.09223      2.94000     -8.07333   2      9.98765
     -5.09223     -2.94000     -8.07333   2      9.98765
      5.09223     -2.94000     -8.07333   2      9.98765
      5.09223     -2.94000      8.07333   2      9.98765
      5.09223      2.94000     -8.07333   2      9.98765
     -5.09223     -2.94000      8.07333   2      9.98765
      5.09223      2.94000      8.07333   2      9.98765
     -4.24352      1.47000      9.08250   1     10.13214
      0.84870     -4.41000     -9.08250   1     10.13214
      0.84870     -4.41000      9.08250   1     10.13214
