 Cu DEBYE RM Method
 temperature = 450.00  N_at = 141
 -----------------------------------------------------------------------
 ipath  nleg    sig2   mu_ipath    w_1      w_2       A1     A2
   1    2     0.01089   31.775    41.70    27.11    0.585  0.415
   2    2     0.01471   31.775    40.47    24.00    0.453  0.547
   3    3     0.01072   28.244    42.06    28.40    0.673  0.327
   4    3     0.01318   28.793    41.35    25.41    0.579  0.421
   5    2     0.01418   31.775    39.31    24.33    0.488  0.512
   6    3     0.01330   30.033    40.77    25.76    0.511  0.489
   7    3     0.01346   30.033    40.44    25.17    0.540  0.460
   8    2     0.01607   31.775    37.97    23.52    0.419  0.581
   9    3     0.01392   31.775    39.07    24.71    0.488  0.512
  10    3     0.01607   31.775    37.97    23.52    0.419  0.581
  11    4     0.01392   31.775    39.07    24.71    0.488  0.512
  12    4     0.04356    7.944    41.70    27.11    0.585  0.415
  13    4     0.01607   31.775    37.97    23.52    0.419  0.581
  15    2     0.01966   31.775    39.62    21.56    0.333  0.667
  16    3     0.01499   30.730    40.26    23.48    0.507  0.493
  17    3     0.01926   30.730    40.08    21.83    0.366  0.634
  18    3     0.01897   30.730    39.80    22.02    0.369  0.631
  19    3     0.01562   29.111    39.77    24.68    0.446  0.554
  20    3     0.01500   29.111    39.36    24.65    0.502  0.498
  21    4     0.01500   29.111    39.36    24.65    0.502  0.498
  22    4     0.01562   29.111    39.77    24.68    0.446  0.554
  23    2     0.02071   31.775    40.31    21.38    0.288  0.712
  24    3     0.01872   29.656    40.39    22.46    0.381  0.619
