PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2  12.000  index, nleg, degeneracy, r=  2.5323
      x           y           z     ipot  label      rleg      beta        eta
    1.790590    0.000000    1.790590   1 'Cu    '     2.5323  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.5323  180.0000    0.0000
     2    2   6.000  index, nleg, degeneracy, r=  3.5812
      x           y           z     ipot  label      rleg      beta        eta
    0.000000   -3.581170    0.000000   1 'Cu    '     3.5812  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     3.5812  180.0000    0.0000
     3    3  48.000  index, nleg, degeneracy, r=  3.7984
      x           y           z     ipot  label      rleg      beta        eta
    1.790590    1.790590    0.000000   1 'Cu    '     2.5323  120.0000    0.0000
    1.790590    0.000000   -1.790590   1 'Cu    '     2.5323  120.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.5323  120.0000    0.0000
     4    3  48.000  index, nleg, degeneracy, r=  4.3229
      x           y           z     ipot  label      rleg      beta        eta
   -3.581170    0.000000    0.000000   1 'Cu    '     3.5812  134.9998    0.0000
   -1.790590    0.000000   -1.790590   1 'Cu    '     2.5323   90.0002    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.5323  135.0000    0.0000
     5    2  24.000  index, nleg, degeneracy, r=  4.3860
      x           y           z     ipot  label      rleg      beta        eta
    3.581170   -1.790590    1.790590   1 'Cu    '     4.3860  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     4.3860  180.0000    0.0000
     6    3  48.000  index, nleg, degeneracy, r=  4.7253
      x           y           z     ipot  label      rleg      beta        eta
   -1.790590    0.000000   -1.790590   1 'Cu    '     2.5323  150.0000    0.0000
    0.000000    1.790590    1.790590   1 'Cu    '     4.3860  150.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.5323   60.0000    0.0000
     7    3  96.000  index, nleg, degeneracy, r=  4.7253
      x           y           z     ipot  label      rleg      beta        eta
    1.790590    3.581170    1.790590   1 'Cu    '     4.3860  149.9999    0.0000
    1.790590    1.790590    0.000000   1 'Cu    '     2.5323   60.0001    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.5323  150.0000    0.0000
     8    2  12.000  index, nleg, degeneracy, r=  5.0645
      x           y           z     ipot  label      rleg      beta        eta
   -3.581170    3.581170    0.000000   1 'Cu    '     5.0645  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     5.0645  180.0000    0.0000
     9    3  12.000  index, nleg, degeneracy, r=  5.0645
      x           y           z     ipot  label      rleg      beta        eta
    1.790590    0.000000    1.790590   1 'Cu    '     2.5323  180.0000    0.0000
   -1.790590    0.000000   -1.790590   1 'Cu    '     5.0646  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.5323    0.0000    0.0000
