 # r       w_scrn(r)      v_ch(r)
    0.2472352175E-01    0.4322863410E+01    0.5597057839E+01
    0.2599112382E-01    0.4316450489E+01    0.5590493948E+01
    0.2732371724E-01    0.4309444316E+01    0.5583322929E+01
    0.2872463418E-01    0.4301794461E+01    0.5575493114E+01
    0.3019737766E-01    0.4293446717E+01    0.5566949118E+01
    0.3174563032E-01    0.4284343238E+01    0.5557631671E+01
    0.3337326359E-01    0.4274422051E+01    0.5547477467E+01
    0.3508434741E-01    0.4263617298E+01    0.5536419024E+01
    0.3688316037E-01    0.4251858682E+01    0.5524384557E+01
    0.3877420044E-01    0.4239071863E+01    0.5511297885E+01
    0.4076219620E-01    0.4225177824E+01    0.5497078348E+01
    0.4285211869E-01    0.4210093460E+01    0.5481640776E+01
    0.4504919380E-01    0.4193730871E+01    0.5464895487E+01
    0.4735891536E-01    0.4175998203E+01    0.5446748331E+01
    0.4978705887E-01    0.4156798852E+01    0.5427100796E+01
    0.5233969597E-01    0.4136032616E+01    0.5405850172E+01
    0.5502320956E-01    0.4113594817E+01    0.5382889782E+01
    0.5784430984E-01    0.4089377842E+01    0.5358109301E+01
    0.6081005103E-01    0.4063270162E+01    0.5331395159E+01
    0.6392784901E-01    0.4035158332E+01    0.5302631040E+01
    0.6720549992E-01    0.4004925915E+01    0.5271698491E+01
    0.7065119958E-01    0.3972456031E+01    0.5238477645E+01
    0.7427356405E-01    0.3937630158E+01    0.5202848063E+01
    0.7808165111E-01    0.3900331275E+01    0.5164689707E+01
    0.8208498297E-01    0.3860442573E+01    0.5123884049E+01
    0.8629357004E-01    0.3817851249E+01    0.5080315314E+01
    0.9071793599E-01    0.3772447088E+01    0.5033871855E+01
    0.9536914403E-01    0.3724126890E+01    0.4984447671E+01
    0.1002588246E+00    0.3672792988E+01    0.4931944049E+01
    0.1053992045E+00    0.3618358264E+01    0.4876271321E+01
    0.1108031372E+00    0.3560744575E+01    0.4817350730E+01
    0.1164841356E+00    0.3499888192E+01    0.4755116376E+01
    0.1224564049E+00    0.3435738257E+01    0.4689517219E+01
    0.1287348790E+00    0.3368262399E+01    0.4620519114E+01
    0.1353352574E+00    0.3297445262E+01    0.4548106829E+01
    0.1422740444E+00    0.3223293877E+01    0.4472286015E+01
    0.1495685907E+00    0.3145836488E+01    0.4393085075E+01
    0.1572371363E+00    0.3065127158E+01    0.4310556879E+01
    0.1652988567E+00    0.2981245051E+01    0.4224780261E+01
    0.1737739103E+00    0.2894297560E+01    0.4135861256E+01
    0.1826834892E+00    0.2804420455E+01    0.4043933994E+01
    0.1920498720E+00    0.2711778672E+01    0.3949161206E+01
    0.2018964795E+00    0.2616567734E+01    0.3851734283E+01
    0.2122479333E+00    0.2519011302E+01    0.3751872820E+01
    0.2231301176E+00    0.2419364447E+01    0.3649823635E+01
    0.2345702434E+00    0.2317906933E+01    0.3545859197E+01
    0.2465969169E+00    0.2214949092E+01    0.3440275469E+01
    0.2592402112E+00    0.2110819999E+01    0.3333389154E+01
    0.2725317411E+00    0.2005876678E+01    0.3225534381E+01
    0.2865047422E+00    0.1900486207E+01    0.3117058846E+01
    0.3011941545E+00    0.1795039429E+01    0.3008319502E+01
    0.3166367090E+00    0.1689926530E+01    0.2899677861E+01
    0.3328710202E+00    0.1585555970E+01    0.2791495030E+01
    0.3499376824E+00    0.1482322836E+01    0.2684126604E+01
    0.3678793710E+00    0.1380634593E+01    0.2577917556E+01
    0.3867409497E+00    0.1280872253E+01    0.2473197271E+01
    0.4065695822E+00    0.1183423338E+01    0.2370274890E+01
    0.4274148504E+00    0.1088635358E+01    0.2269435106E+01
    0.4493288784E+00    0.9968578858E+00    0.2170934550E+01
    0.4723664626E+00    0.9083887104E+00    0.2074998889E+01
    0.4965852091E+00    0.8235245702E+00    0.1981820727E+01
    0.5220456772E+00    0.7424994384E+00    0.1891558372E+01
    0.5488115314E+00    0.6655458220E+00    0.1804335481E+01
    0.5769497003E+00    0.5928258693E+00    0.1720241578E+01
    0.6065305440E+00    0.5245010196E+00    0.1639333375E+01
    0.6376280300E+00    0.4606557457E+00    0.1561636820E+01
    0.6703199182E+00    0.4013769518E+00    0.1487149737E+01
    0.7046879553E+00    0.3466721733E+00    0.1415844910E+01
    0.7408180794E+00    0.2965537154E+00    0.1347673478E+01
    0.7788006345E+00    0.2509527223E+00    0.1282568460E+01
    0.8187305969E+00    0.2098087513E+00    0.1220448261E+01
    0.8607078123E+00    0.1729835867E+00    0.1161220049E+01
    0.9048372455E+00    0.1403482564E+00    0.1104782868E+01
    0.9512292431E+00    0.1117001967E+00    0.1051030418E+01
    0.9999998093E+00    0.8684839534E-01    0.9998534597E+00
    0.1051270896E+01    0.6553878278E-01    0.9511418095E+00
    0.1105170707E+01    0.4752783183E-01    0.9047859431E+00
    0.1161834021E+01    0.3252023263E-01    0.8606782238E+00
    0.1221402525E+01    0.2023303259E-01    0.8187138034E+00
    0.1284025172E+01    0.1034852270E-01    0.7787912411E+00
    0.1349858550E+01    0.2560338189E-02    0.7408128940E+00
    0.1419067278E+01   -0.3456334629E-02    0.7046851283E+00
    0.1491824413E+01   -0.8012602996E-02    0.6703183983E+00
    0.1568311886E+01   -0.1141967377E-01    0.6376272295E+00
    0.1648720956E+01   -0.1397642102E-01    0.6065301386E+00
    0.1733252687E+01   -0.1596499563E-01    0.5769495124E+00
    0.1822118453E+01   -0.1765155443E-01    0.5488114637E+00
    0.1915540464E+01   -0.1928641902E-01    0.5220456763E+00
    0.2013752323E+01   -0.2110344287E-01    0.4965852451E+00
    0.2116999613E+01   -0.2196210103E-01    0.4723665186E+00
    0.2225540504E+01   -0.2208685714E-01    0.4493289444E+00
    0.2339646406E+01   -0.2168178566E-01    0.4274149205E+00
    0.2459602642E+01   -0.2093058757E-01    0.4065696527E+00
    0.2585709166E+01   -0.1999637307E-01    0.3867410182E+00
