natx =      980
    x       y        z       iph  
      6.38091      1.22800      1.67402   1      6.49800
      2.83597     -4.91200     -1.67397   2      6.58630
      2.83597      4.91200     -1.67397   2      6.58631
     -5.67191      0.00000     -1.67397   2      6.58631
      2.83597     -4.91200      5.02202   2      6.58632
      2.83597      4.91200      5.02202   2      6.58633
     -5.67191      0.00000      5.02202   2      6.58633
      0.00000      0.00000     -5.02197   1      6.69599
      0.00000      0.00000      8.37001   1      6.69599
     -0.70899     -1.22800     -5.02197   2      6.84448
     -0.70899     -1.22800      8.37001   2      6.84448
     -0.70899      1.22800     -5.02197   2      6.84448
     -0.70899      1.22800      8.37001   2      6.84448
      1.41798      0.00000     -5.02197   2      6.84448
      1.41798      0.00000      8.37001   2      6.84448
      0.70900     -6.14000     -1.67397   2      7.02931
      0.70900      6.14000     -1.67397   2      7.02932
      0.70900     -6.14000      5.02202   2      7.02932
     -5.67191     -2.45600     -1.67397   2      7.02933
     -5.67191      2.45600     -1.67397   2      7.02933
      0.70900      6.14000      5.02202   2      7.02933
      4.96294     -3.68400     -1.67397   2      7.02934
     -5.67191     -2.45600      5.02202   2      7.02934
      4.96294      3.68400     -1.67397   2      7.02934
     -5.67191      2.45600      5.02202   2      7.02934
      4.96294     -3.68400      5.02202   2      7.02935
      4.96294      3.68400      5.02202   2      7.02935
      3.54495     -6.14000      1.67402   2      7.08987
      3.54495      6.14000      1.67402   2      7.08987
      0.00000     -2.45600     -5.02197   1      7.13220
      0.00000     -2.45600      8.37001   1      7.13220
      0.00000      2.45600     -5.02197   1      7.13220
      0.00000      2.45600      8.37001   1      7.13220
     -2.12697     -1.22800     -5.02197   1      7.13220
     -2.12697     -1.22800      8.37001   1      7.13220
     -2.12697      1.22800     -5.02197   1      7.13220
     -2.12697      1.22800      8.37001   1      7.13220
      2.12697     -1.22800     -5.02197   1      7.13220
      2.12697     -1.22800      8.37001   1      7.13220
      2.12697      1.22800     -5.02197   1      7.13220
      2.12697      1.22800      8.37001   1      7.13220
      1.41798     -2.45600     -5.02197   2      7.27179
      1.41798     -2.45600      8.37001   2      7.27179
      1.41798      2.45600     -5.02197   2      7.27179
      1.41798      2.45600      8.37001   2      7.27179
     -2.83596      0.00000     -5.02197   2      7.27179
     -2.83596      0.00000      8.37001   2      7.27179
     -2.12697      6.14000     -1.67397   1      7.30976
      2.12697     -6.14000     -1.67397   1      7.30976
     -2.12697     -6.14000     -1.67397   1      7.30976
      2.12697      6.14000     -1.67397   1      7.30976
     -4.25394      4.91200     -1.67397   1      7.30977
      4.25394     -4.91200     -1.67397   1      7.30977
     -4.25394     -4.91200     -1.67397   1      7.30977
      4.25394      4.91200     -1.67397   1      7.30977
     -2.12697      6.14000      5.02202   1      7.30977
      2.12697     -6.14000      5.02202   1      7.30977
     -2.12697     -6.14000      5.02202   1      7.30977
      2.12697      6.14000      5.02202   1      7.30977
     -4.25394      4.91200      5.02202   1      7.30978
      4.25394     -4.91200      5.02202   1      7.30978
     -4.25394     -4.91200      5.02202   1      7.30978
      4.25394      4.91200      5.02202   1      7.30978
     -6.38091      1.22800     -1.67397   1      7.30979
     -6.38091     -1.22800     -1.67397   1      7.30979
      6.38091     -1.22800     -1.67397   1      7.30979
      6.38091      1.22800     -1.67397   1      7.30979
     -6.38091     -1.22800      5.02202   1      7.30980
     -6.38091      1.22800      5.02202   1      7.30980
      6.38091     -1.22800      5.02202   1      7.30980
      6.38091      1.22800      5.02202   1      7.30980
      0.00000     -7.36800      1.67402   1      7.36800
      0.00000      7.36800      1.67402   1      7.36800
     -6.38091     -3.68400      1.67402   1      7.36803
     -6.38091      3.68400      1.67402   1      7.36803
      6.38091     -3.68400      1.67402   1      7.36803
      6.38091      3.68400      1.67402   1      7.36803
      1.41798     -7.36800      1.67402   2      7.50320
      1.41798      7.36800      1.67402   2      7.50320
      5.67192     -4.91200      1.67402   2      7.50322
      5.67192      4.91200      1.67402   2      7.50322
     -0.70899     -3.68400     -5.02197   2      7.67534
     -0.70899     -3.68400      8.37001   2      7.67534
     -0.70899      3.68400     -5.02197   2      7.67534
     -0.70899      3.68400      8.37001   2      7.67534
     -2.83596     -2.45600     -5.02197   2      7.67534
     -2.83596      2.45600      8.37001   2      7.67534
     -2.83596     -2.45600      8.37001   2      7.67534
     -2.83596      2.45600     -5.02197   2      7.67534
      3.54495     -1.22800     -5.02197   2      7.67534
      3.54495     -1.22800      8.37001   2      7.67534
      3.54495      1.22800     -5.02197   2      7.67534
      3.54495      1.22800      8.37001   2      7.67534
     -3.54494      6.14000     -1.67397   2      7.84061
     -3.54494      6.14000      5.02202   2      7.84063
      7.08991      0.00000     -1.67397   2      7.84065
