  atom Z =            6
       -3.31413E-03       -2.00550E-03 total energy part of fprime - 5/3*E_tot/mc**2
           1
  2.00000     -11.378   1
  0.0    6.0000
  0.5    5.8286
  1.0    5.3704
  1.5    4.7553
  2.0    4.1138
  2.5    3.5322
  3.0    3.0479
  3.5    2.6650
  4.0    2.3717
  4.5    2.1503
  5.0    1.9836
  5.5    1.8569
  6.0    1.7584
  6.5    1.6795
  7.0    1.6136
  7.5    1.5563
  8.0    1.5045
  8.5    1.4560
  9.0    1.4095
  9.5    1.3642
 10.0    1.3196
 10.5    1.2753
 11.0    1.2315
 11.5    1.1879
 12.0    1.1448
 12.5    1.1022
 13.0    1.0602
 13.5    1.0189
 14.0    0.9785
 14.5    0.9390
 15.0    0.9005
 15.5    0.8631
 16.0    0.8268
 16.5    0.7916
 17.0    0.7577
 17.5    0.7249
 18.0    0.6933
 18.5    0.6631
 19.0    0.6339
 19.5    0.6059
 20.0    0.5791
 20.5    0.5536
 21.0    0.5290
 21.5    0.5054
 22.0    0.4829
 22.5    0.4617
 23.0    0.4414
 23.5    0.4217
 24.0    0.4028
 24.5    0.3851
 25.0    0.3686
 25.5    0.3527
 26.0    0.3369
 26.5    0.3218
 27.0    0.3079
 27.5    0.2952
 28.0    0.2830
 28.5    0.2707
 29.0    0.2585
 29.5    0.2470
 30.0    0.2369
 30.5    0.2279
 31.0    0.2190
 31.5    0.2097
 32.0    0.2001
 32.5    0.1911
 33.0    0.1833
 33.5    0.1769
 34.0    0.1710
 34.5    0.1645
 35.0    0.1572
 35.5    0.1497
 36.0    0.1428
 36.5    0.1373
 37.0    0.1333
 37.5    0.1298
 38.0    0.1255
 38.5    0.1202
 39.0    0.1142
 39.5    0.1084
 40.0    0.1035
