natx =      250
    x       y        z       iph  
      3.16099     -9.12500     -5.96000   1     11.34809
      3.16099     -9.12500      5.96000   1     11.34809
     -3.16099      9.12500      5.96000   1     11.34809
     -6.32199      7.30000     -5.96000   1     11.34809
     -6.32199      7.30000      5.96000   1     11.34809
      6.32199     -7.30000     -5.96000   1     11.34809
      6.32199     -7.30000      5.96000   1     11.34809
     -8.42931      7.30000     -2.98000   1     11.54226
     -8.42931      7.30000      2.98000   1     11.54226
     -2.10733      7.30000     -8.94000   1     11.73262
     -2.10733      7.30000      8.94000   1     11.73262
     -5.26832      5.47500      8.94000   1     11.73262
     -5.26832      5.47500     -8.94000   1     11.73262
     -5.26832     -5.47500      8.94000   1     11.73262
     -2.10733     -7.30000      8.94000   1     11.73262
     -2.10733     -7.30000     -8.94000   1     11.73262
     -5.26832     -5.47500     -8.94000   1     11.73262
      0.00000      0.00000    -11.92000   1     11.92000
      0.00000      0.00000     11.92000   1     11.92000
      4.21466    -10.95000     -2.98000   1     12.10563
      4.21466    -10.95000      2.98000   1     12.10563
      4.21466     -7.30000      8.94000   1     12.28727
     -8.42931      0.00000      8.94000   1     12.28727
     -8.42931      0.00000     -8.94000   1     12.28727
      4.21466     -7.30000     -8.94000   1     12.28727
      0.00000     -3.65000    -11.92000   1     12.46631
     -3.16099      1.82500     11.92000   1     12.46631
      3.16099     -1.82500    -11.92000   1     12.46631
     -3.16099      1.82500    -11.92000   1     12.46631
      3.16099     -1.82500     11.92000   1     12.46631
      0.00000     -3.65000     11.92000   1     12.46631
      0.00000      3.65000     11.92000   1     12.46631
      0.00000      3.65000    -11.92000   1     12.46631
     -3.16099     -1.82500    -11.92000   1     12.46631
     -3.16099     -1.82500     11.92000   1     12.46631
      3.16099      1.82500    -11.92000   1     12.46631
      3.16099      1.82500     11.92000   1     12.46631
      6.32199    -10.95000      0.00000   1     12.64397
     -6.32199     10.95000      0.00000   1     12.64397
      1.05366     -9.12500      8.94000   1     12.81793
     -8.42931      3.65000      8.94000   1     12.81793
     -8.42931      3.65000     -8.94000   1     12.81793
      1.05366     -9.12500     -8.94000   1     12.81793
     -8.42931     -3.65000      8.94000   1     12.81793
     -8.42931     -3.65000     -8.94000   1     12.81793
     -3.16099      5.47500     11.92000   1     13.49274
     -3.16099     -5.47500    -11.92000   1     13.49274
     -3.16099     -5.47500     11.92000   1     13.49274
      3.16099      5.47500    -11.92000   1     13.49274
      3.16099      5.47500     11.92000   1     13.49274
     -3.16099      5.47500    -11.92000   1     13.49274
      3.16099     -5.47500    -11.92000   1     13.49274
      3.16099     -5.47500     11.92000   1     13.49274
      6.32199      0.00000    -11.92000   1     13.49274
     -6.32199      0.00000     11.92000   1     13.49274
      6.32199      0.00000     11.92000   1     13.49274
     -6.32199      0.00000    -11.92000   1     13.49274
     -5.26832      9.12500      8.94000   1     13.81826
     -5.26832      9.12500     -8.94000   1     13.81826
      0.00000      7.30000     11.92000   1     13.97771
      0.00000     -7.30000     11.92000   1     13.97771
      6.32199     -3.65000    -11.92000   1     13.97771
     -6.32199      3.65000     11.92000   1     13.97771
      0.00000      7.30000    -11.92000   1     13.97771
