# # Cu                                                           FEFF 9.7.1  
# # POT  SCF 100  4.0000   0, NO core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.362 Rnm= 1.399 K  shell
# # Pot 1 Z=29 Rmt= 1.362 Rnm= 1.399
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.729E+00eV kf=1.989E+00 Vint=-1.660E+01eV Rs_int= 1.823
# # PATH  Rmax=-1.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#     0/   0 paths used
#  xsedge+50, used to normalize mu           8.4920E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8956.405    -39.771  -2.900 -8.17721E-05 -8.17721E-05  0.00000E+00
    8957.500    -38.676  -2.850 -1.69011E-04 -1.69011E-04  0.00000E+00
    8958.576    -37.600  -2.800 -1.82437E-04 -1.82437E-04  0.00000E+00
    8959.634    -36.542  -2.750 -1.91061E-04 -1.91061E-04  0.00000E+00
    8960.672    -35.504  -2.700 -1.97627E-04 -1.97627E-04  0.00000E+00
    8961.691    -34.485  -2.650 -2.03042E-04 -2.03042E-04  0.00000E+00
    8962.691    -33.485  -2.600 -2.07727E-04 -2.07727E-04  0.00000E+00
    8963.672    -32.504  -2.550 -2.11915E-04 -2.11915E-04  0.00000E+00
    8964.634    -31.542  -2.500 -2.15743E-04 -2.15743E-04  0.00000E+00
    8965.577    -30.599  -2.450 -2.19301E-04 -2.19301E-04  0.00000E+00
    8966.501    -29.675  -2.400 -2.22658E-04 -2.22658E-04  0.00000E+00
    8967.406    -28.770  -2.350 -2.25858E-04 -2.25858E-04  0.00000E+00
    8968.292    -27.884  -2.300 -2.28930E-04 -2.28930E-04  0.00000E+00
    8969.159    -27.017  -2.250 -2.31903E-04 -2.31903E-04  0.00000E+00
    8970.006    -26.170  -2.200 -2.34794E-04 -2.34794E-04  0.00000E+00
    8970.835    -25.341  -2.150 -2.37617E-04 -2.37617E-04  0.00000E+00
    8971.645    -24.531  -2.100 -2.40382E-04 -2.40382E-04  0.00000E+00
    8972.435    -23.741  -2.050 -2.43099E-04 -2.43099E-04  0.00000E+00
    8973.207    -22.969  -2.000 -2.45767E-04 -2.45767E-04  0.00000E+00
    8973.959    -22.217  -1.950 -2.48391E-04 -2.48391E-04  0.00000E+00
    8974.693    -21.483  -1.900 -2.50967E-04 -2.50967E-04  0.00000E+00
    8975.407    -20.769  -1.850 -2.53490E-04 -2.53490E-04  0.00000E+00
    8976.102    -20.074  -1.800 -2.55950E-04 -2.55950E-04  0.00000E+00
    8976.778    -19.397  -1.750 -2.58331E-04 -2.58331E-04  0.00000E+00
    8977.436    -18.740  -1.700 -2.60615E-04 -2.60615E-04  0.00000E+00
    8978.074    -18.102  -1.650 -2.62771E-04 -2.62771E-04  0.00000E+00
    8978.693    -17.483  -1.600 -2.64765E-04 -2.64765E-04  0.00000E+00
    8979.293    -16.883  -1.550 -2.66553E-04 -2.66553E-04  0.00000E+00
    8979.874    -16.302  -1.500 -2.68069E-04 -2.68069E-04  0.00000E+00
    8980.436    -15.740  -1.450 -2.69213E-04 -2.69213E-04  0.00000E+00
    8980.979    -15.197  -1.400 -2.69919E-04 -2.69919E-04  0.00000E+00
    8981.503    -14.673  -1.350 -2.70013E-04 -2.70013E-04  0.00000E+00
    8982.008    -14.168  -1.300 -2.69348E-04 -2.69348E-04  0.00000E+00
    8982.493    -13.682  -1.250 -2.67663E-04 -2.67663E-04  0.00000E+00
    8982.960    -13.216  -1.200 -2.64797E-04 -2.64797E-04  0.00000E+00
    8983.408    -12.768  -1.150 -2.60065E-04 -2.60065E-04  0.00000E+00
    8983.836    -12.339  -1.100 -2.53266E-04 -2.53266E-04  0.00000E+00
    8984.246    -11.930  -1.050 -2.43797E-04 -2.43797E-04  0.00000E+00
    8984.637    -11.539  -1.000 -2.30872E-04 -2.30872E-04  0.00000E+00
    8985.008    -11.168  -0.950 -2.13192E-04 -2.13192E-04  0.00000E+00
    8985.360    -10.815  -0.900 -1.89586E-04 -1.89586E-04  0.00000E+00
    8985.694    -10.482  -0.850 -1.58761E-04 -1.58761E-04  0.00000E+00
    8986.008    -10.168  -0.800 -1.19184E-04 -1.19184E-04  0.00000E+00
    8986.303     -9.872  -0.750 -6.71031E-05 -6.71031E-05  0.00000E+00
    8986.580     -9.596  -0.700 -9.82602E-07 -9.82602E-07  0.00000E+00
    8986.837     -9.339  -0.650  8.01075E-05  8.01075E-05  0.00000E+00
    8987.075     -9.101  -0.600  1.74825E-04  1.74825E-04  0.00000E+00
    8987.294     -8.882  -0.550  2.88089E-04  2.88089E-04  0.00000E+00
    8987.494     -8.682  -0.500  4.14978E-04  4.14978E-04  0.00000E+00
    8987.675     -8.501  -0.450  5.48664E-04  5.48664E-04  0.00000E+00
    8987.837     -8.339  -0.400  6.82769E-04  6.82769E-04  0.00000E+00
    8987.980     -8.196  -0.350  8.16952E-04  8.16952E-04  0.00000E+00
    8988.104     -8.072  -0.300  9.26833E-04  9.26833E-04  0.00000E+00
    8988.208     -7.967  -0.250  1.01496E-03  1.01496E-03  0.00000E+00
    8988.294     -7.882  -0.200  1.10309E-03  1.10309E-03  0.00000E+00
    8988.361     -7.815  -0.150  1.19121E-03  1.19121E-03  0.00000E+00
    8988.408     -7.767  -0.100  1.47086E-02  1.47086E-02  0.00000E+00
    8988.437     -7.739  -0.050  3.54659E-02  3.54659E-02  0.00000E+00
    8988.447     -7.729   0.000  5.62231E-02  5.62231E-02  0.00000E+00
    8988.456     -7.720   0.050  7.69804E-02  7.69804E-02  0.00000E+00
    8988.485     -7.691   0.100  9.77377E-02  9.77377E-02  0.00000E+00
    8988.532     -7.644   0.150  1.18495E-01  1.18495E-01  0.00000E+00
    8988.599     -7.577   0.200  1.39252E-01  1.39252E-01  0.00000E+00
    8988.685     -7.491   0.250  1.60009E-01  1.60009E-01  0.00000E+00
